route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,lambda2_over_noise,degraded_sample_count
cylindrical_grid_music_baseline,2,2.725000,-1.362500,1.362500,8,190,0,188,0.950000,0.000000,0.940000,0.328031,190,1.950000,20.000000,8.000000,0.015553,0.248816,-1.113684,1.144789,NaN,10
cylindrical_grid_music_baseline,2,2.725000,-1.362500,1.362500,10,200,5,200,1.000000,0.025000,1.000000,0.201206,200,2.000000,20.000000,8.000000,-0.019625,0.157000,-1.244750,1.205500,NaN,0
cylindrical_grid_music_baseline,2,2.725000,-1.362500,1.362500,12,200,27,200,1.000000,0.135000,1.000000,0.130582,200,2.000000,20.000000,8.000000,-0.000975,0.084200,-1.280250,1.278300,NaN,0
cylindrical_grid_music_baseline,2,2.725000,-1.362500,1.362500,14,200,79,200,1.000000,0.395000,1.000000,0.089411,200,2.000000,20.000000,8.000000,-0.015525,0.075100,-1.318450,1.287400,NaN,0
cylindrical_grid_music_baseline,2,2.725000,-1.362500,1.362500,16,200,131,200,1.000000,0.655000,1.000000,0.071423,200,2.000000,20.000000,8.000000,-0.009050,0.058050,-1.322550,1.304450,NaN,0
cylindrical_grid_music_baseline,2,2.725000,-1.362500,1.362500,18,200,171,200,1.000000,0.855000,1.000000,0.056254,200,2.000000,20.000000,8.000000,-0.013650,0.055800,-1.334000,1.306700,NaN,0
cylindrical_grid_music_baseline,2,2.725000,-1.362500,1.362500,20,200,196,200,1.000000,0.980000,1.000000,0.047040,200,2.000000,20.000000,8.000000,-0.010800,0.049800,-1.334300,1.312700,NaN,0
cylindrical_grid_music_baseline,2,2.725000,-1.362500,1.362500,22,200,200,200,1.000000,1.000000,1.000000,0.042546,200,2.000000,20.000000,8.000000,-0.009975,0.046600,-1.335850,1.315900,NaN,0
cylindrical_grid_music_baseline,2,2.725000,-1.362500,1.362500,24,200,200,200,1.000000,1.000000,1.000000,0.040156,200,2.000000,20.000000,8.000000,-0.012350,0.047600,-1.339600,1.314900,NaN,0
cylindrical_grid_music_baseline,2,2.725000,-1.362500,1.362500,26,200,200,200,1.000000,1.000000,1.000000,0.038172,200,2.000000,20.000000,8.000000,-0.010425,0.044650,-1.338700,1.317850,NaN,0
cylindrical_grid_music_baseline,2,2.725000,-1.362500,1.362500,28,200,200,200,1.000000,1.000000,1.000000,0.037162,200,2.000000,20.000000,8.000000,-0.012250,0.046100,-1.340900,1.316400,NaN,0
cylindrical_grid_music_baseline,2,2.725000,-1.362500,1.362500,30,200,200,200,1.000000,1.000000,1.000000,0.036031,200,2.000000,20.000000,8.000000,-0.010950,0.044350,-1.340050,1.318150,NaN,0
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,-4,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,28.000000,18.000000,NaN,NaN,NaN,NaN,NaN,200
