experiment_stage,route_name,K_phi,P_phi,subarray_span_deg,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count_abs01,tol_success_count_rel025,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,rmse_valid_count,mean_num_peaks,lambda2_over_noise_mean,degraded_count,degraded_rate,snr90_abs01,snr90_rel025
sanity,level2_subarray_avg_real_grid_music_forward,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,28,5,0,0,0.250000000,0.000000000,0.000000000,0.198465886,5,1.250000000,64.125893289,15,0.750000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_forward,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,30,9,0,0,0.450000000,0.000000000,0.000000000,0.206183309,9,1.450000000,97.412060881,11,0.550000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_forward,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,20,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,3.704388749,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_forward,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,24,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,7.885409781,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_forward,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,28,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,18.088362563,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_forward,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,30,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,27.731801541,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_forward,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,20,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.617171660,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_forward,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,24,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,2.581879616,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_forward,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,28,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,5.064195532,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_forward,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,30,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,7.413898358,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_fb,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,20,2,0,0,0.100000000,0.000000000,0.000000000,0.174239229,2,1.100000000,11.593706308,18,0.900000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_fb,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,24,2,0,0,0.100000000,0.000000000,0.000000000,0.203038146,2,1.100000000,27.171087235,18,0.900000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_fb,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,28,5,0,0,0.250000000,0.000000000,0.000000000,0.198465886,5,1.250000000,64.125893289,15,0.750000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_fb,28,38,50.625000000,5,0.527550890,-0.263775445,0.263775445,30,9,0,0,0.450000000,0.000000000,0.000000000,0.206183309,9,1.450000000,97.412060881,11,0.550000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_fb,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,20,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,3.704388749,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_fb,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,24,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,7.885409781,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_fb,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,28,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,18.088362563,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_fb,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,30,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,27.731801541,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_fb,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,20,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.617171660,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_fb,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,24,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,2.581879616,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_fb,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,28,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,5.064195532,20,1.000000000,NaN,NaN
sanity,level2_subarray_avg_real_grid_music_fb,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,30,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,7.413898358,20,1.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,24,42,43.125000000,7,0.376822064,-0.188411032,0.188411032,24,100,93,90,1.000000000,0.930000000,0.900000000,0.065360542,100,2.000000000,6.170993300,0,0.000000000,24.000000000,24.000000000
kphi_scan,level2_ula_root_music_65col_baseline,24,42,43.125000000,7,0.376822064,-0.188411032,0.188411032,28,100,100,100,1.000000000,1.000000000,1.000000000,0.062757976,100,2.000000000,13.964069810,0,0.000000000,24.000000000,24.000000000
kphi_scan,level2_ula_root_music_65col_baseline,24,42,43.125000000,7,0.376822064,-0.188411032,0.188411032,30,100,100,100,1.000000000,1.000000000,1.000000000,0.062806650,100,2.000000000,21.446684510,0,0.000000000,24.000000000,24.000000000
kphi_scan,level2_ula_root_music_65col_baseline,24,42,43.125000000,10,0.263775445,-0.131887722,0.131887722,24,100,34,3,1.000000000,0.340000000,0.030000000,0.091288496,100,2.000000000,2.193703779,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,24,42,43.125000000,10,0.263775445,-0.131887722,0.131887722,28,100,77,3,1.000000000,0.770000000,0.030000000,0.077388835,100,2.000000000,4.080297903,0,0.000000000,NaN,NaN
