route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,lambda2_over_noise_array,root_dist_array_mean,root_dist_beam_mean,lambda2_over_noise_pre_tp,lambda2_over_noise_post_tp,toeplitz_residual_norm
6.905663e-03,baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,18,87,86,79,0.435000,0.430000,0.395000,0.052867,87,1.435000,22.000000,22.000000,-0.163546,2.461131,1.989982,0.190191,1.918911,1.313572,1.269786,1.634667,2.370268,2.812638,0.004504,0.007530,2.812638,13.937366
6.719974e-03,baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,20,170,170,164,0.850000,0.850000,0.820000,0.042900,170,1.850000,22.000000,22.000000,0.012885,0.165736,1.953077,0.141943,1.883324,1.306665,1.263109,1.626072,2.357804,3.964795,0.003343,0.007569,3.964795,21.387894
6.482409e-03,baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,22,199,199,198,0.995000,0.995000,0.990000,0.031602,199,1.995000,22.000000,22.000000,0.009640,0.131772,1.940000,0.106154,1.870715,1.304143,1.260672,1.622933,2.353253,5.774294,0.002591,0.007501,5.774294,34.123548
6.465264e-03,baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,24,200,200,200,1.000000,1.000000,1.000000,0.022637,200,2.000000,22.000000,22.000000,0.003523,0.116224,1.941065,0.080394,1.871741,1.304348,1.260870,1.623189,2.353624,8.644421,0.001990,0.007521,8.644421,54.660888
6.393550e-03,baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,26,200,200,200,1.000000,1.000000,1.000000,0.016969,200,2.000000,22.000000,22.000000,0.004020,0.087607,1.938175,0.069246,1.868955,1.303791,1.260331,1.622495,2.352618,13.252025,0.001544,0.007475,13.252025,89.941799
6.395383e-03,baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,28,200,200,200,1.000000,1.000000,1.000000,0.013614,200,2.000000,22.000000,22.000000,-0.005149,0.067708,1.932265,0.053450,1.863256,1.302651,1.259229,1.621077,2.350562,20.455270,0.001219,0.007457,20.455270,150.405118
6.381722e-03,baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,14,1,0,0,0.005000,0.000000,0.000000,0.096177,1,1.005000,24.000000,24.000000,-2.024080,21.147512,2.189606,0.820697,2.346006,1.364882,1.319386,1.528668,2.216568,1.366375,0.012660,0.008518,1.366375,4.784724
5.979377e-03,baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,16,0,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,24.000000,24.000000,-0.134525,12.692303,2.139587,0.772730,2.292415,1.360867,1.315505,1.524172,2.210049,1.661400,0.008573,0.008246,1.661400,7.171839
5.679439e-03,baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,18,8,7,6,0.040000,0.035000,0.030000,0.056954,8,1.040000,24.000000,24.000000,0.000688,0.361602,1.984788,0.194103,2.126558,1.354433,1.309285,1.516965,2.199599,2.127547,0.006002,0.007914,2.127547,11.005911
5.569069e-03,baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,20,62,62,48,0.310000,0.310000,0.240000,0.046429,62,1.310000,24.000000,24.000000,0.009157,0.174033,1.955683,0.126787,2.095375,1.349033,1.304065,1.510917,2.190829,2.876932,0.004492,0.007810,2.876932,17.116584
