route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_raw_search_ratio_4b,mean_piecewise_search_ratio,mean_piecewise_span_ratio,region_low_rate,region_mid_rate,region_high_rate,search_upper_clip_rate,span_upper_clip_rate,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg
baseline_true_centerT,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.017267,200,2.000000,22.000000,0.002492,0.085691,1.938915,0.061654,1.869668,1.303934,1.260469,0.000000,0.000000,1.000000,0.000000,0.000000,1.622673,2.352876
baseline_true_centerT,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.014443,200,2.000000,22.000000,0.005881,0.067538,1.939126,0.057063,1.869872,1.303974,1.260509,0.000000,0.000000,1.000000,0.000000,0.000000,1.622724,2.352949
baseline_true_centerT,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000,-2.481443,19.420698,2.254013,0.885052,2.415013,1.372450,1.326701,0.000000,0.000000,1.000000,0.215000,0.000000,1.537144,2.228858
baseline_true_centerT,10,0.280000,12.860000,13.140000,16,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000,-0.357051,13.225022,2.132535,0.661804,2.284858,1.363163,1.317724,0.000000,0.005000,0.995000,0.110000,0.000000,1.526743,2.213777
baseline_true_centerT,10,0.280000,12.860000,13.140000,18,6,6,0.030000,0.030000,0.045644,6,1.030000,24.000000,-0.230446,4.168453,1.976171,0.266213,2.117326,1.349226,1.304252,0.000000,0.000000,1.000000,0.025000,0.000000,1.511134,2.191144
baseline_true_centerT,10,0.280000,12.860000,13.140000,20,61,60,0.305000,0.300000,0.051582,61,1.305000,24.000000,0.002715,0.183840,1.963995,0.139443,2.104280,1.350856,1.305828,0.000000,0.000000,1.000000,0.000000,0.000000,1.512959,2.193790
baseline_true_centerT,10,0.280000,12.860000,13.140000,22,148,148,0.740000,0.740000,0.038817,148,1.740000,24.000000,-0.010883,0.149071,1.943186,0.116366,2.081985,1.346397,1.301517,0.000000,0.000000,1.000000,0.000000,0.000000,1.507965,2.186549
baseline_true_centerT,10,0.280000,12.860000,13.140000,24,189,189,0.945000,0.945000,0.033118,189,1.945000,24.000000,-0.000383,0.109567,1.948436,0.090370,2.087611,1.347522,1.302605,0.000000,0.000000,1.000000,0.000000,0.000000,1.509225,2.188376
baseline_true_centerT,10,0.280000,12.860000,13.140000,26,199,199,0.995000,0.995000,0.024648,199,1.995000,24.000000,0.001983,0.086020,1.935370,0.066100,2.073610,1.344722,1.299898,0.000000,0.000000,1.000000,0.000000,0.000000,1.506089,2.183829
baseline_true_centerT,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.017436,200,2.000000,24.000000,-0.001925,0.067383,1.934745,0.054851,2.072941,1.344588,1.299769,0.000000,0.000000,1.000000,0.000000,0.000000,1.505939,2.183611
fft_guided_centerT,7,0.400000,12.800000,13.200000,14,105,102,0.525000,0.510000,0.050120,105,1.365000,18.000000,-3.710725,20.826308,2.223084,0.603930,1.667313,1.254029,1.212228,0.000000,0.180000,0.820000,0.060000,0.000000,2.006446,2.909347
fft_guided_centerT,7,0.400000,12.800000,13.200000,16,178,177,0.890000,0.885000,0.037593,178,1.855000,18.000000,-0.757679,9.690723,2.061342,0.366471,1.546006,1.235545,1.194360,0.000000,0.170000,0.830000,0.010000,0.000000,1.976871,2.866463
fft_guided_centerT,7,0.400000,12.800000,13.200000,18,198,198,0.990000,0.990000,0.029730,198,1.990000,18.000000,-0.004191,0.242737,1.993527,0.202285,1.495146,1.226829,1.185935,0.000000,0.130000,0.870000,0.000000,0.000000,1.962926,2.846243
fft_guided_centerT,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.020982,200,2.000000,18.000000,-0.005261,0.182765,1.975331,0.144141,1.481498,1.225106,1.184269,0.000000,0.080000,0.920000,0.000000,0.000000,1.960170,2.842246
