stage,route_name,K_phi,P_phi,sep_factor,theta_sep_deg,snr_db,phase_offset_deg,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,degraded_rate,snr90_abs01,snr90_rel025,mean_pair_sep_est,std_pair_sep_est,mean_pair_sep_bias,mean_abs_pair_sep_error,mean_pair_center_est,std_pair_center_est,mean_pair_center_bias,mean_abs_pair_center_error,objective_true_rank_median,objective_true_rank_p90,objective_margin_true_vs_best,objective_valley_sep_width_mean,objective_valley_center_width_mean
ksnr_scan,center_real,20,46,7,0.376822064,30,0.000000000,1.000000000,1.000000000,1.000000000,0.059739688,0.000000000,26.000000000,26.000000000,0.258900000,0.009658675,-0.117922064,0.117922064,0.000895551,0.008264533,0.000895551,0.006429644,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,18,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,20,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,22,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,24,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,26,0.000000000,0.280000000,0.220000000,0.060000000,0.088915476,0.720000000,NaN,NaN,0.214285714,0.076854620,-0.049489731,0.078585969,0.043674122,0.062526525,0.043674122,0.055677936,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,28,0.000000000,0.280000000,0.280000000,0.200000000,0.052227008,0.720000000,NaN,NaN,0.181428571,0.028935184,-0.082346874,0.082346874,0.000102694,0.028689488,0.000102694,0.019394764,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,20,46,10,0.263775445,30,0.000000000,0.400000000,0.400000000,0.220000000,0.059642238,0.600000000,NaN,NaN,0.148750000,0.024843259,-0.115025445,0.115025445,0.000120551,0.009755607,0.000120551,0.006900445,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,7,0.376822064,18,0.000000000,0.400000000,0.340000000,0.240000000,0.076368765,0.600000000,24.000000000,24.000000000,0.245000000,0.038013156,-0.131822064,0.131822064,0.001495551,0.033532633,0.001495551,0.021224555,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,7,0.376822064,20,0.000000000,0.600000000,0.600000000,0.560000000,0.067504793,0.400000000,24.000000000,24.000000000,0.251000000,0.028879058,-0.125822064,0.125822064,0.005245551,0.019054746,0.005245551,0.013932147,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,7,0.376822064,22,0.000000000,0.900000000,0.840000000,0.740000000,0.070831833,0.100000000,24.000000000,24.000000000,0.244333333,0.032396845,-0.132488731,0.132488731,0.000856662,0.019123542,0.000856662,0.013828668,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,7,0.376822064,24,0.000000000,0.980000000,0.980000000,0.920000000,0.067285266,0.020000000,24.000000000,24.000000000,0.247551020,0.022590463,-0.129271044,0.129271044,0.003061877,0.014580772,0.003061877,0.011116348,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,7,0.376822064,26,0.000000000,0.980000000,0.980000000,0.880000000,0.070954141,0.020000000,24.000000000,24.000000000,0.237959184,0.022335987,-0.138862881,0.138862881,0.000102694,0.009435603,0.000102694,0.007209456,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,7,0.376822064,28,0.000000000,1.000000000,1.000000000,1.000000000,0.066482075,0.000000000,24.000000000,24.000000000,0.245600000,0.014305244,-0.131222064,0.131222064,0.001545551,0.007842831,0.001545551,0.006679644,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,7,0.376822064,30,0.000000000,1.000000000,1.000000000,1.000000000,0.067012901,0.000000000,24.000000000,24.000000000,0.243700000,0.010991360,-0.133122064,0.133122064,0.000795551,0.005433461,0.000795551,0.004429644,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,10,0.263775445,18,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,10,0.263775445,20,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,10,0.263775445,22,0.000000000,0.020000000,0.000000000,0.000000000,0.246014599,0.980000000,NaN,NaN,0.485000000,0.000000000,0.221224555,0.221224555,0.219745551,0.000000000,0.219745551,0.219745551,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,10,0.263775445,24,0.000000000,0.020000000,0.020000000,0.020000000,0.064388225,0.980000000,NaN,NaN,0.135000000,0.000000000,-0.128775445,0.128775445,-0.000254449,0.000000000,-0.000254449,0.000254449,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,10,0.263775445,26,0.000000000,0.220000000,0.220000000,0.160000000,0.060069115,0.780000000,NaN,NaN,0.177727273,0.047211499,-0.086048172,0.088089000,-0.017981722,0.029608325,-0.017981722,0.022889195,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,10,0.263775445,28,0.000000000,0.240000000,0.240000000,0.140000000,0.059011565,0.760000000,NaN,NaN,0.151250000,0.027012728,-0.112525445,0.112525445,-0.001296116,0.011522547,-0.001296116,0.008958333,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,24,42,10,0.263775445,30,0.000000000,0.260000000,0.260000000,0.160000000,0.066879038,0.740000000,NaN,NaN,0.131923077,0.021171321,-0.131852368,0.131852368,-0.000254449,0.003797773,-0.000254449,0.002711881,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,7,0.376822064,18,0.000000000,0.260000000,0.240000000,0.220000000,0.066961473,0.740000000,28.000000000,30.000000000,0.258461538,0.030216184,-0.118360526,0.118360526,0.005707089,0.026846044,0.005707089,0.023210512,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,7,0.376822064,20,0.000000000,0.400000000,0.380000000,0.360000000,0.067725573,0.600000000,28.000000000,30.000000000,0.251500000,0.033245300,-0.125322064,0.125322064,0.002995551,0.019366530,0.002995551,0.015199110,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,7,0.376822064,22,0.000000000,0.720000000,0.640000000,0.560000000,0.080084331,0.280000000,28.000000000,30.000000000,0.221250000,0.030898018,-0.155572064,0.155572064,-0.000185005,0.011141235,-0.000185005,0.007640125,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,7,0.376822064,24,0.000000000,0.860000000,0.780000000,0.720000000,0.079653402,0.140000000,28.000000000,30.000000000,0.221279070,0.029748813,-0.155542994,0.155542994,-0.000719566,0.008630931,-0.000719566,0.006216048,NaN,NaN,NaN,NaN,NaN
ksnr_scan,center_real,28,38,7,0.376822064,26,0.000000000,0.900000000,0.840000000,0.820000000,0.080211789,0.100000000,28.000000000,30.000000000,0.218444444,0.022823531,-0.158377620,0.158377620,0.000578884,0.005700877,0.000578884,0.004194939,NaN,NaN,NaN,NaN,NaN
