b_index,l_index,acc_re,acc_im
0,0,-3448599217904,-298481150949
1,0,1009675433935,-753728855826
2,0,-417481893329,-1220428233098
3,0,591361286286,-457877760314
4,0,493204003111,416232412062
5,0,-84524237910,-74719235676
6,0,-246696630439,461345958926
0,1,-1337320631674,-3110333013391
1,1,1254385628586,710173142533
2,1,924991395736,-945351526937
3,1,660176291602,281690174607
4,1,-117914371225,623812392880
5,1,-19089645349,-128379215359
6,1,-583085977228,-14232813474
