trial_index,obs_id,obs_global_index,chunk_id,total_chunks,run_tag,scenario_name,center_az,trial_id,quant_mode,candidate_count,topK_default,top1_same_flag,topK_order_same_flag,topK_set_same_flag,topK_jaccard,topK_miss_count,topK_miss_rate,selected_candidate_same_flag,score_rank_spearman,score_rank_kendall_if_easy,score_gap_top1_top2_baseline,score_gap_top1_top2_quant,score_gap_norm_baseline,score_gap_norm_quant,score_gap_abs_error,score_gap_rel_error,score_margin_bin,argmax_changed_flag,score_gap_sign_flip_flag,reliable_margin_flag,reliable_top1_same_flag,reliable_topK_same_flag,candidate_score_max_abs_diff,candidate_score_p95_abs_diff,candidate_score_rel_l2_error,same_policy_flag,same_estimate_flag,same_confidence_flag,same_fallback_flag,boundary_state_same_flag,false_high_rate_if_available,boundary_missed_rate_if_available,az_rmse_gap_if_available,el_rmse_gap_if_available,W_scale,Gcache_scale,Z_scale,Rz_scale,score_scale,W_clip_rate,Gcache_clip_rate,Z_clip_rate,Rz_clip_rate,score_clip_rate,max_clip_rate,max_overflow_rate,W_relative_error,Gcache_relative_error,Z_relative_error,Rz_relative_error,score_relative_error
103,cp00p00_weak_secondary_t0013,103,103,120,formal_tps30,weak_secondary,0,13,double_baseline,7353,10,1,1,1,1,0,0,1,1,NaN,125.682895944308,125.682895944308,0.000631589737613024,0.000631589737613024,0,0,weak_margin,0,0,0,0,0,0,0,0,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
103,cp00p00_weak_secondary_t0013,103,103,120,formal_tps30,weak_secondary,0,13,float32_all,7353,10,1,1,1,1,0,0,1,0.999999999728337,NaN,125.682895944308,125.6953125,0.000631589737613024,0.000631652218703446,0.0124165556917433,9.87927243277813e-05,weak_margin,0,0,0,0,0,0.537227661843644,0.0690152456736541,7.13499715632395e-07,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
103,cp00p00_weak_secondary_t0013,103,103,120,formal_tps30,weak_secondary,0,13,combined_int16,7353,10,1,1,1,1,0,0,1,0.99999997609368,NaN,125.682895944308,124.574027697294,0.000631589737613024,0.000626021101491766,1.10886824701447,0.00882274583731604,weak_margin,0,0,0,0,0,20.6461917585548,4.07753441912064,3.48254493930878e-05,1,1,1,1,1,NaN,NaN,0,0,1.02326866867281e-06,0.0012316833403547,0.00113971314352544,2.6388004750322,3.03839091944617,0,0,0,0,0,0,0,1.89921494063163e-05,3.11406035697417e-05,3.09437240949028e-05,7.49739673586414e-05,1.39488785140047e-05
103,cp00p00_weak_secondary_t0013,103,103,120,formal_tps30,weak_secondary,0,13,combined_int18,7353,10,1,1,1,1,0,0,1,0.999999994838408,NaN,125.682895944308,126.091460175085,0.000631589737613024,0.000633645830152441,0.408564230776392,0.00325075443008118,weak_margin,0,0,0,0,0,3.72394064282707,0.968366755754687,8.0405636688975e-06,1,1,1,1,1,NaN,NaN,0,0,2.55811311933242e-07,0.000307913774244636,0.0002849218206683,0.659681630959775,0.759587109488389,0,0,0,0,0,0,0,4.75555370558934e-06,7.77744768055423e-06,7.66356063111184e-06,1.5590860461593e-05,3.51820282007944e-06
103,cp00p00_weak_secondary_t0013,103,103,120,formal_tps30,weak_secondary,0,13,combined_int24,7353,10,1,1,1,1,0,0,1,0.999999999909446,NaN,125.682895944308,125.68731224259,0.000631589737613024,0.000631611945255022,0.00441629828128498,3.51384191787075e-05,weak_margin,0,0,0,0,0,0.075612901157001,0.0139288957943791,1.16764256863767e-07,1,1,1,1,1,NaN,NaN,0,0,3.99702173035428e-09,4.8111164869768e-06,4.45186958070115e-06,0.0103074563979264,0.0118684902967512,0,0,0,0,0,0,0,7.42029538126525e-08,1.2062533238579e-07,1.18341284332019e-07,2.79372440976728e-07,5.46137165778284e-08
103,cp00p00_weak_secondary_t0013,103,103,120,formal_tps30,weak_secondary,0,13,mixed_Z16_G24_Rz24,7353,10,1,1,1,1,0,0,1,0.999999999154827,NaN,125.682895944308,125.687627720021,0.000631589737613024,0.000631611945255039,0.00473177571257111,3.76485254975969e-05,weak_margin,0,0,0,0,0,0.410145692905644,0.31978695304133,3.16076631052281e-06,1,1,1,1,1,NaN,NaN,0,0,NaN,4.81111649577584e-06,0.00113971325951102,0.0103074933883893,0.0118685200868766,0,0,0,0,0,0,0,0,1.20552980091729e-07,3.08926089616283e-05,2.96319188998432e-07,5.47734967752895e-08
103,cp00p00_weak_secondary_t0013,103,103,120,formal_tps30,weak_secondary,0,13,combined_int14,7353,10,0,0,1,1,0,0,0,0.999999870869648,NaN,125.682895944308,121.5545795504,0.000631589737613024,0.00061079892499391,4.12831639390788,0.0328470820384119,weak_margin,1,0,0,0,0,77.7044778263189,15.9942786181491,0.00013263695557907,1,0,1,1,1,NaN,NaN,0,0,4.09344945261897e-06,0.00492718452979009,0.00455926654485337,10.5562121848873,12.1554579550397,0,0,0,0,0,0,0,7.59786814574564e-05,0.000125043022251653,0.000122176882928651,0.000292493665948986,5.60777326709356e-05
103,cp00p00_weak_secondary_t0013,103,103,120,formal_tps30,weak_secondary,0,13,W_int18_G24_Z16,7353,10,1,1,1,1,0,0,1,0.999999999215197,NaN,125.682895944308,125.687654432579,0.000631589737613024,0.000631611945255042,0.00475848827045411,3.78610648227159e-05,weak_margin,0,0,0,0,0,0.41291512530006,0.336201678903308,3.36780893337797e-06,1,1,1,1,1,NaN,NaN,0,0,2.55811311933242e-07,4.81111658991996e-06,0.00113971336884105,NaN,0.0118685226093088,0,0,0,0,0,0,0,4.75555370558934e-06,1.21162671873752e-07,3.08956675232638e-05,0,5.47083274351346e-08
223,cp00p00_large_el_pair_t0013,223,103,120,formal_tps30,large_el_pair,0,13,double_baseline,7353,10,1,1,1,1,0,0,1,1,NaN,130.529795344541,130.529795344541,0.000307951606066056,0.000307951606066056,0,0,weak_margin,0,0,0,0,0,0,0,0,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
223,cp00p00_large_el_pair_t0013,223,103,120,formal_tps30,large_el_pair,0,13,float32_all,7353,10,1,1,1,1,0,0,1,0.999999999517044,NaN,130.529795344541,130.546875,0.000307951606066056,0.000307991897619733,0.0170796554593835,0.000130848710934548,weak_margin,0,0,0,0,0,1.9147165203758,0.111760456107731,7.60904733551871e-07,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
223,cp00p00_large_el_pair_t0013,223,103,120,formal_tps30,large_el_pair,0,13,combined_int16,7353,10,1,1,1,1,0,0,1,0.999999969181372,NaN,130.529795344541,129.396707254346,0.000307951606066056,0.000305278261135012,1.13308809019509,0.00868068541135945,weak_margin,0,0,0,0,0,28.5001840470504,6.81279874501342,3.09356926561954e-05,1,1,1,1,1,NaN,NaN,0,0,1.02326866867281e-06,0.0012316833403547,0.00182018648299486,3.56153317863064,6.46983536271755,0,0,0,0,0,0,0,1.89921494063163e-05,3.11406035697417e-05,3.34807176604512e-05,5.69228767044753e-05,1.63060008917875e-05
223,cp00p00_large_el_pair_t0013,223,103,120,formal_tps30,large_el_pair,0,13,combined_int18,7353,10,1,1,1,1,0,0,1,0.999999993902681,NaN,130.529795344541,129.393841355399,0.000307951606066056,0.000305271271683785,1.13595398914185,0.00870264130992805,weak_margin,0,0,0,0,0,7.50296807462291,1.7767940713311,8.32115557291824e-06,1,1,1,1,1,NaN,NaN,0,0,2.55811311933242e-07,0.000307913774244636,0.000455036147552568,0.890362853073821,1.61742301694256,0,0,0,0,0,0,0,4.75555370558934e-06,7.77744768055423e-06,8.62196091318067e-06,1.23824128236247e-05,4.0738262258547e-06
