azCtr,scenario,SNR,num_trials,route_agreement,confidence_agreement,direct_success,template_success,success_gap,false_high_template,boundary_missed_template,az_est_diff_mean,az_est_diff_max,el_est_diff_mean,el_est_diff_max,runtime_direct_mean,runtime_template_mean
NaN,all,NaN,1080,0.994444444444444,1,0.580555555555556,0.580555555555556,0,0,0,5.96609556028253e-17,3.5527136788005e-15,0,0,0.284870280555556,0.28375202787037
0,all,NaN,360,1,1,0.586111111111111,0.586111111111111,0,0,0,0,0,0,0,0.278399607222222,0.277156866111111
30,all,NaN,360,0.988888888888889,1,0.583333333333333,0.583333333333333,0,0,0,1.79957719024208e-16,3.5527136788005e-15,0,0,0.285951000555556,0.285102906111111
60,all,NaN,360,0.994444444444444,1,0.572222222222222,0.572222222222222,0,0,0,0,0,0,0,0.290260233888889,0.288996311388889
NaN,common_el_clean,NaN,180,1,1,0.533333333333333,0.533333333333333,0,0,0,0,0,0,0,0.332139935,0.330158572777778
NaN,rho_0p7,NaN,180,1,1,0.844444444444444,0.844444444444444,0,0,0,0,0,0,0,0.205192078333333,0.204472979444444
NaN,beta_0p3,NaN,180,1,1,0.266666666666667,0.266666666666667,0,0,0,0,0,0,0,0.223052623888889,0.222165946111111
NaN,phase_150,NaN,180,0.966666666666667,1,0.8,0.8,0,0,0,0,0,0,0,0.199634813333333,0.198724927222222
NaN,large_el_clean,NaN,180,1,1,1,1,0,0,0,3.05928122341154e-16,3.5527136788005e-15,0,0,0.638001262222222,0.636258232222222
NaN,large_el_hard,NaN,180,1,1,0.0388888888888889,0.0388888888888889,0,0,0,0,0,0,0,0.111200970555556,0.110731509444444
0,common_el_clean,0,20,1,1,0.95,0.95,0,0,0,0,0,0,0,0.12440156,0.117469405
0,common_el_clean,8,20,1,1,0.65,0.65,0,0,0,0,0,0,0,0.26918456,0.266922195
0,common_el_clean,16,20,1,1,0.25,0.25,0,0,0,0,0,0,0,0.47599834,0.47361322
0,rho_0p7,0,20,1,1,0.9,0.9,0,0,0,0,0,0,0,0.140086035,0.13965199
0,rho_0p7,8,20,1,1,0.6,0.6,0,0,0,0,0,0,0,0.322195155,0.320883735
0,rho_0p7,16,20,1,1,1,1,0,0,0,0,0,0,0,0.14775183,0.144868055
0,beta_0p3,0,20,1,1,0.2,0.2,0,0,0,0,0,0,0,0.34679742,0.34773173
0,beta_0p3,8,20,1,1,0.45,0.45,0,0,0,0,0,0,0,0.2180566,0.216454515
0,beta_0p3,16,20,1,1,0.15,0.15,0,0,0,0,0,0,0,0.120359275,0.11844142
0,phase_150,0,20,1,1,0.45,0.45,0,0,0,0,0,0,0,0.267508225,0.269507705
0,phase_150,8,20,1,1,0.85,0.85,0,0,0,0,0,0,0,0.21891286,0.215795825
0,phase_150,16,20,1,1,1,1,0,0,0,0,0,0,0,0.14241891,0.1410654
0,large_el_clean,0,20,1,1,1,1,0,0,0,0,0,0,0,0.638854875,0.63772925
0,large_el_clean,8,20,1,1,1,1,0,0,0,0,0,0,0,0.63018185,0.62876806
0,large_el_clean,16,20,1,1,1,1,0,0,0,0,0,0,0,0.62911742,0.629087715
0,large_el_hard,0,20,1,1,0.05,0.05,0,0,0,0,0,0,0,0.11601268,0.115610065
0,large_el_hard,8,20,1,1,0,0,0,0,0,0,0,0,0,0.087956365,0.08730674
0,large_el_hard,16,20,1,1,0.05,0.05,0,0,0,0,0,0,0,0.11539897,0.117916565
30,common_el_clean,0,20,1,1,0.9,0.9,0,0,0,0,0,0,0,0.143951545,0.14169217
30,common_el_clean,8,20,1,1,0.45,0.45,0,0,0,0,0,0,0,0.371120655,0.37238158
30,common_el_clean,16,20,1,1,0.05,0.05,0,0,0,0,0,0,0,0.578472805,0.577173675
30,rho_0p7,0,20,1,1,1,1,0,0,0,0,0,0,0,0.09089246,0.08919754
30,rho_0p7,8,20,1,1,0.6,0.6,0,0,0,0,0,0,0,0.29581512,0.29631857
30,rho_0p7,16,20,1,1,1,1,0,0,0,0,0,0,0,0.21769492,0.218387555
30,beta_0p3,0,20,1,1,0.2,0.2,0,0,0,0,0,0,0,0.323112895,0.321617165
30,beta_0p3,8,20,1,1,0.3,0.3,0,0,0,0,0,0,0,0.221782375,0.221110765
30,beta_0p3,16,20,1,1,0.5,0.5,0,0,0,0,0,0,0,0.090435175,0.089328915
30,phase_150,0,20,0.95,1,0.5,0.5,0,0,0,0,0,0,0,0.217045025,0.218409325
30,phase_150,8,20,0.95,1,0.9,0.9,0,0,0,0,0,0,0,0.14384941,0.14299998
30,phase_150,16,20,0.9,1,1,1,0,0,0,0,0,0,0,0.198296265,0.19514352
30,large_el_clean,0,20,1,1,1,1,0,0,0,1.33226762955019e-15,3.5527136788005e-15,0,0,0.643765005,0.642751485
30,large_el_clean,8,20,1,1,1,1,0,0,0,1.24344978758018e-15,3.5527136788005e-15,0,0,0.640548095,0.639757375
30,large_el_clean,16,20,1,1,1,1,0,0,0,1.77635683940025e-16,3.5527136788005e-15,0,0,0.642998965,0.639960685
30,large_el_hard,0,20,1,1,0,0,0,0,0,0,0,0,0,0.09144024,0.09176352
30,large_el_hard,8,20,1,1,0.05,0.05,0,0,0,0,0,0,0,0.11979701,0.117694655
30,large_el_hard,16,20,1,1,0.05,0.05,0,0,0,0,0,0,0,0.116100045,0.11616383
60,common_el_clean,0,20,1,1,0.9,0.9,0,0,0,0,0,0,0,0.14179737,0.14103971
60,common_el_clean,8,20,1,1,0.45,0.45,0,0,0,0,0,0,0,0.37866505,0.376102755
60,common_el_clean,16,20,1,1,0.2,0.2,0,0,0,0,0,0,0,0.50566753,0.505032445
60,rho_0p7,0,20,1,1,0.95,0.95,0,0,0,0,0,0,0,0.116764675,0.11587577
60,rho_0p7,8,20,1,1,0.55,0.55,0,0,0,0,0,0,0,0.321079055,0.322909675
60,rho_0p7,16,20,1,1,1,1,0,0,0,0,0,0,0,0.194449455,0.192163925
60,beta_0p3,0,20,1,1,0.2,0.2,0,0,0,0,0,0,0,0.301335325,0.299204425
60,beta_0p3,8,20,1,1,0.15,0.15,0,0,0,0,0,0,0,0.243956765,0.2440915
60,beta_0p3,16,20,1,1,0.25,0.25,0,0,0,0,0,0,0,0.141637785,0.14151308
60,phase_150,0,20,1,1,0.6,0.6,0,0,0,0,0,0,0,0.223024885,0.222364865
60,phase_150,8,20,0.95,1,0.95,0.95,0,0,0,0,0,0,0,0.192048485,0.191726935
60,phase_150,16,20,0.95,1,0.95,0.95,0,0,0,0,0,0,0,0.193609255,0.19151079
60,large_el_clean,0,20,1,1,1,1,0,0,0,0,0,0,0,0.6374627,0.63635211
60,large_el_clean,8,20,1,1,1,1,0,0,0,0,0,0,0,0.6362986,0.636821685
60,large_el_clean,16,20,1,1,1,1,0,0,0,0,0,0,0,0.64278385,0.635095725
60,large_el_hard,0,20,1,1,0.1,0.1,0,0,0,0,0,0,0,0.14624717,0.14450937
60,large_el_hard,8,20,1,1,0,0,0,0,0,0,0,0,0,0.092526765,0.09082593
60,large_el_hard,16,20,1,1,0.05,0.05,0,0,0,0,0,0,0,0.11532949,0.11479291
