azCtr,Delta_az,el,steering_type,template_mode,rel_err_raw,rel_err_aligned,coherence,phase_err_mean_abs,phase_err_rms,phase_err_max
0,-0.6,-2,full_65x32,template_exact,0,0,1,0,0,0
0,-0.6,-2,full_65x32,template_canonical,0,0,1,0,0,0
0,-0.6,-2,music2d_center_subarray,template_exact,0,0,1,0,0,0
0,-0.6,-2,music2d_center_subarray,template_canonical,0,0,1,0,0,0
0,-0.6,-2,pairlocal_selected_subarray,template_exact,0,0,1,0,0,0
0,-0.6,-2,pairlocal_selected_subarray,template_canonical,0,0,1,0,0,0
0,-0.6,-2,level2_combined,template_exact,0,0,1,0,0,0
0,-0.6,-2,level2_combined,template_canonical,0,0,1,0,0,0
0,-0.6,-1.5,full_65x32,template_exact,0,0,1,0,0,0
0,-0.6,-1.5,full_65x32,template_canonical,0,0,1,0,0,0
0,-0.6,-1.5,music2d_center_subarray,template_exact,0,0,1,0,0,0
0,-0.6,-1.5,music2d_center_subarray,template_canonical,0,0,1,0,0,0
0,-0.6,-1.5,pairlocal_selected_subarray,template_exact,0,0,0.999999999999999,0,0,0
0,-0.6,-1.5,pairlocal_selected_subarray,template_canonical,0,0,0.999999999999999,0,0,0
0,-0.6,-1.5,level2_combined,template_exact,0,0,1,0,0,0
0,-0.6,-1.5,level2_combined,template_canonical,0,0,1,0,0,0
0,-0.6,-1,full_65x32,template_exact,0,0,1,0,0,0
0,-0.6,-1,full_65x32,template_canonical,0,0,1,0,0,0
0,-0.6,-1,music2d_center_subarray,template_exact,0,0,1,0,0,0
0,-0.6,-1,music2d_center_subarray,template_canonical,0,0,1,0,0,0
0,-0.6,-1,pairlocal_selected_subarray,template_exact,0,0,0.999999999999999,0,0,0
0,-0.6,-1,pairlocal_selected_subarray,template_canonical,0,0,0.999999999999999,0,0,0
0,-0.6,-1,level2_combined,template_exact,0,0,1,0,0,0
0,-0.6,-1,level2_combined,template_canonical,0,0,1,0,0,0
0,-0.6,-0.5,full_65x32,template_exact,0,0,0.999999999999998,0,0,0
0,-0.6,-0.5,full_65x32,template_canonical,0,0,0.999999999999998,0,0,0
0,-0.6,-0.5,music2d_center_subarray,template_exact,0,0,1,0,0,0
0,-0.6,-0.5,music2d_center_subarray,template_canonical,0,0,1,0,0,0
0,-0.6,-0.5,pairlocal_selected_subarray,template_exact,0,0,1,0,0,0
0,-0.6,-0.5,pairlocal_selected_subarray,template_canonical,0,0,1,0,0,0
0,-0.6,-0.5,level2_combined,template_exact,0,0,1,0,0,0
0,-0.6,-0.5,level2_combined,template_canonical,0,0,1,0,0,0
0,-0.6,0,full_65x32,template_exact,0,0,1,0,0,0
0,-0.6,0,full_65x32,template_canonical,0,0,1,0,0,0
0,-0.6,0,music2d_center_subarray,template_exact,0,0,1,0,0,0
