quant_mode,is_fixed_candidate,is_recommendation_candidate,component_bits,formal_trial_count,ranking_pass_flag,topK_pass_flag,fixed_point_pass_flag,reliable_top1_preservation_rate,reliable_topK_set_preservation_rate,overall_topK_set_preservation_rate,reliable_topK_miss_rate,argmax_changed_rate_on_reliable_margin,reliable_score_gap_sign_flip_rate,max_candidate_score_rel_l2_error,max_score_gap_rel_error,max_clip_rate,max_overflow_rate,estimated_total_MB,estimated_BRAM36,estimated_URAM288,engineering_rank,selection_reason
double_baseline,0,0,16,10,1,1,0,1,1,1,0,0,0,0,0,0,0,5.35227966308594,1218,153,NaN,not_fixed_candidate
float32_all,0,0,16,10,1,1,0,1,1,1,0,0,0,7.38615060785619e-07,0.000215937804112057,0,0,5.35227966308594,1218,153,NaN,not_fixed_candidate
combined_int16,1,1,16,10,1,1,0,1,1,1,0,0,0,3.83434463039907e-05,0.0140171557301248,0,0,5.35227966308594,1218,153,NaN,formal_trial_count_below_minimum
combined_int18,1,1,18,10,1,1,0,1,1,1,0,0,0,9.49398389940132e-06,0.0141657610372791,0,0,6.02131462097168,1371,172,NaN,formal_trial_count_below_minimum
combined_int24,1,1,24,10,1,1,0,1,1,1,0,0,0,1.51795737044774e-07,9.25902860589018e-05,0,0,8.02841949462891,1827,229,NaN,formal_trial_count_below_minimum
mixed_Z16_G24_Rz24,1,1,24,10,1,1,0,1,1,1,0,0,0,4.33079131547244e-06,0.000129735441396751,0,0,8.02841949462891,1827,229,NaN,formal_trial_count_below_minimum
combined_int14,1,1,16,10,1,1,0,1,1,1,0,0,0,0.000157744591427503,0.101272636448768,0,0,5.35227966308594,1218,153,NaN,formal_trial_count_below_minimum
W_int18_G24_Z16,1,1,24,10,1,1,0,1,1,1,0,0,0,4.65047457919005e-06,0.000129954540974331,0,0,8.02841949462891,1827,229,NaN,formal_trial_count_below_minimum
