quant_mode,is_fixed_candidate,recommendation_candidate_flag,num_trials,reliable_trial_count,overall_top1_preservation_rate,overall_topK_set_preservation_rate,overall_topK_miss_rate,reliable_top1_preservation_rate,reliable_topK_set_preservation_rate,reliable_topK_miss_rate,argmax_changed_rate_on_reliable_margin,reliable_score_gap_sign_flip_rate,mean_score_rank_spearman,min_score_rank_spearman,max_candidate_score_rel_l2_error,max_score_gap_rel_error,same_policy_rate,same_estimate_rate,same_confidence_rate,same_fallback_rate,boundary_state_same_rate,max_clip_rate,max_overflow_rate,ranking_pass_flag,topK_pass_flag,fixed_point_pass_flag,mode_storage_cost_bits
double_baseline,0,0,10,6,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,16
float32_all,0,0,10,6,1,1,0,1,1,0,0,0,0.999999999677023,0.999999999577414,8.64498092916316e-07,0.000278233357769929,1,1,1,1,1,0,0,1,1,0,16
combined_int16,1,1,10,6,0.8,0.9,0.01,0.666666666666667,0.833333333333333,0.0166666666666667,0.333333333333333,0,0.999999975713352,0.999999970268023,3.57932428843014e-05,0.00777591674473374,1,0.8,1,1,1,0,0,0,0,0,16
combined_int18,1,1,10,6,0.9,1,0,0.833333333333333,1,0,0.166666666666667,0,0.999999994464117,0.999999993600834,1.04960079001339e-05,0.00516178075116556,1,0.9,1,1,1,0,0,0,1,0,18
combined_int24,1,1,10,6,1,1,0,1,1,0,0,0,0.999999999912464,0.999999999849077,1.44348041023983e-07,2.54589008159181e-05,1,1,1,1,1,0,0,1,1,0,24
mixed_Z16_G24_Rz24,1,1,10,6,1,1,0,1,1,0,0,0,0.999999998979756,0.999999998007807,4.54093774301077e-06,0.000228774415824408,1,1,1,1,1,0,0,1,1,0,24
combined_int14,1,1,10,6,0.5,0.9,0.01,0.666666666666667,0.833333333333333,0.0166666666666667,0.333333333333333,0,0.999999857084273,0.999999822845714,0.000141556811183998,0.0336928347415296,1,0.5,1,1,1,0,0,0,0,0,16
W_int18_G24_Z16,1,1,10,6,1,1,0,1,1,0,0,0,0.999999998937497,0.999999998007807,4.5492084666548e-06,0.000228913829594635,1,1,1,1,1,0,0,1,1,0,24
