metric,value
tool_xvlog_found,true
tool_xelab_found,true
tool_xsim_found,true
compile_status,pass
w_provider_elaboration_status,pass
w_provider_simulation_status,pass
quantizer_elaboration_status,pass
quantizer_simulation_status,pass
w_provider_summary_created,true
quantizer_summary_created,true
w_provider_boundary_pass,true
quantizer_pipe_equivalence_pass,true
step14_2b_hardening_source_xsim_pass,true
formal_result_claimed,false
dma_validation_flag,false
ps_validation_flag,false
board_validation_flag,false
