case_type,trial_index,scenario_name,quant_mode,metric_name,metric_value,topK_miss_count,argmax_changed_flag,score_gap_norm_baseline,score_gap_rel_error,max_clip_rate,note
max_topK_miss_count,100,weak_secondary,double_baseline,topK_miss_count,0,0,0,0.000119701806107949,0,0,see trial CSV for full fields
argmax_changed_largest_baseline_gap,700,weak_secondary,combined_int14,score_gap_norm_baseline,0.000131091143050998,0,1,0.000131091143050998,0.068673222107406,0,see trial CSV for full fields
max_score_gap_rel_error,1180,low_margin_score_gap,combined_int14,score_gap_rel_error,0.129774953506465,0,0,0.000162113981582211,0.129774953506465,0,see trial CSV for full fields
policy_changed_sample,NaN,,,same_policy_flag,NaN,NaN,0,NaN,NaN,NaN,no matching sample
max_clip_or_overflow_sample,100,weak_secondary,double_baseline,max_clip_rate,0,0,0,0.000119701806107949,0,0,see trial CSV for full fields
