bias_case_id,az_center_bias_deg,el_center_bias_deg,scenario_name,trial_id,cached_status,cached_success,cached_rmse,cached_num_pairs,cached_policy_name,cached_confidence,cached_boundary_flag,topK_miss,boundary_hit,cache_miss_count,fallback_used,high_confidence_misuse_flag
1,0,0,easy_noncoherent,1,ok,1,0.0373898381916808,9729,EASY,high,,0,0,0,0,0
1,0,0,easy_noncoherent,2,ok,1,0.0282488937836506,9729,EASY,high,,0,0,0,0,0
1,0,0,easy_noncoherent,3,ok,1,0.0373898381916808,9729,EASY,high,,0,0,0,0,0
1,0,0,easy_noncoherent,4,ok,1,0.0282488937836506,9729,EASY,high,,0,0,0,0,0
1,0,0,easy_noncoherent,5,ok,1,0.0373898381916808,9729,EASY,high,,0,0,0,0,0
1,0,0,easy_noncoherent,6,ok,1,0.0282488937836506,9729,EASY,high,,0,0,0,0,0
1,0,0,easy_noncoherent,7,ok,1,0.0595818764390646,18612,NORMAL,medium,,0,0,0,0,0
1,0,0,easy_noncoherent,8,ok,1,0.0282488937836506,9729,EASY,high,,0,0,0,0,0
1,0,0,easy_noncoherent,9,ok,1,0.0373898381916808,9729,EASY,high,,0,0,0,0,0
1,0,0,easy_noncoherent,10,ok,1,0.0282488937836506,9729,EASY,high,,0,0,0,0,0
1,0,0,strong_coherent,1,ok,1,0.0140712472794702,9729,EASY,high,,0,0,0,0,0
1,0,0,strong_coherent,2,ok,1,0.0140712472794702,9729,EASY,high,,0,0,0,0,0
1,0,0,strong_coherent,3,ok,1,0.0140712472794702,9729,EASY,high,,0,0,0,0,0
1,0,0,strong_coherent,4,ok,1,0.0140712472794702,9729,EASY,high,,0,0,0,0,0
1,0,0,strong_coherent,5,ok,1,0.0140712472794702,9729,EASY,high,,0,0,0,0,0
1,0,0,strong_coherent,6,ok,1,0.0140712472794702,9729,EASY,high,,0,0,0,0,0
1,0,0,strong_coherent,7,ok,1,0.0140712472794702,9729,EASY,high,,0,0,0,0,0
1,0,0,strong_coherent,8,ok,1,0.0140712472794702,9729,EASY,high,,0,0,0,0,0
1,0,0,strong_coherent,9,ok,1,0.0140712472794702,9729,EASY,high,,0,0,0,0,0
1,0,0,strong_coherent,10,ok,1,0.0140712472794702,9729,EASY,high,,0,0,0,0,0
1,0,0,hard_phase,1,ok,1,0.0199499373432599,9729,EASY,high,,0,0,0,0,0
1,0,0,hard_phase,2,ok,1,0.0199499373432599,9729,EASY,high,,0,0,0,0,0
1,0,0,hard_phase,3,ok,1,0.0199499373432599,9729,EASY,high,,0,0,0,0,0
1,0,0,hard_phase,4,ok,1,0.0199499373432599,9729,EASY,high,,0,0,0,0,0
1,0,0,hard_phase,5,ok,1,0.0199499373432599,9729,EASY,high,,0,0,0,0,0
1,0,0,hard_phase,6,ok,1,0.0199499373432599,9729,EASY,high,,0,0,0,0,0
1,0,0,hard_phase,7,ok,1,0.0199499373432599,9729,EASY,high,,0,0,0,0,0
1,0,0,hard_phase,8,ok,1,0.0199499373432599,9729,EASY,high,,0,0,0,0,0
