center_az,actual_center_az,selected_center_column,scenario_name,trial_id,seed,truth_az1,truth_az2,truth_el1,truth_el2,cached_status,direct_status,cached_success,direct_success,cached_rmse,direct_rmse,same_estimate_flag,same_policy_flag,same_score_flag,az_diff_max,el_diff_max,score_diff_abs,score_diff_rel,cached_policy_name,direct_policy_name,cached_confidence,direct_confidence,cached_boundary_flag,direct_boundary_flag,cached_num_pairs,direct_num_pairs,cached_cache_miss_count,cached_fallback_used,cached_runtime_total_sec,direct_runtime_total_sec,pass_flag
0,0,1,easy_noncoherent,1,20361610,-0.635,0.635,9.975,10.645,ok,ok,1,1,0.0373898381916808,0.0373898381916808,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.1107515,0.2080371,1
0,0,1,easy_noncoherent,2,20361611,-0.635,0.635,10.645,9.975,ok,ok,1,1,0.0282488937836506,0.0282488937836506,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.06965,0.1296974,1
0,0,1,easy_noncoherent,3,20361612,-0.635,0.635,9.975,10.645,ok,ok,1,1,0.0373898381916808,0.0373898381916808,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0800612,0.1640161,1
0,0,1,easy_noncoherent,4,20361613,-0.635,0.635,10.645,9.975,ok,ok,1,1,0.0282488937836506,0.0282488937836506,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0507342,0.1327396,1
0,0,1,easy_noncoherent,5,20361614,-0.635,0.635,9.975,10.645,ok,ok,1,1,0.0373898381916808,0.0373898381916808,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0473997,0.1379908,1
0,0,1,easy_noncoherent,6,20361615,-0.635,0.635,10.645,9.975,ok,ok,1,1,0.0282488937836506,0.0282488937836506,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0357713,0.092491,1
0,0,1,easy_noncoherent,7,20361616,-0.635,0.635,9.975,10.645,ok,ok,1,1,0.0595818764390646,0.0595818764390646,1,1,1,0,0,0,0,NORMAL,NORMAL,medium,medium,,,18612,18612,0,0,0.0896498,0.1783789,1
0,0,1,easy_noncoherent,8,20361617,-0.635,0.635,10.645,9.975,ok,ok,1,1,0.0282488937836506,0.0282488937836506,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0444365,0.0961786,1
0,0,1,easy_noncoherent,9,20361618,-0.635,0.635,9.975,10.645,ok,ok,1,1,0.0373898381916808,0.0373898381916808,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0397728,0.1126497,1
0,0,1,easy_noncoherent,10,20361619,-0.635,0.635,10.645,9.975,ok,ok,1,1,0.0282488937836506,0.0282488937836506,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0470803,0.1137321,1
0,0,1,strong_coherent,1,20362610,-0.635,0.635,10.125,10.495,ok,ok,1,1,0.0140712472794702,0.0140712472794702,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0405533,0.0996842,1
