route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_outer_iter_used,mean_refine_iter_target1,mean_refine_iter_target2,mean_residual_power_final,fftii_init_two_stage_cancel_rate,fftii_init_single_peak_fallback_rate,fftii_fail_init_rate
baseline_true_centerT,9,0.311111,12.844444,13.155556,26,200,200,200,1.000000,1.000000,1.000000,0.016979,200,2.000000,22.000000,22.000000,0.004699,0.087835,1.937887,0.069454,2.470000,4.860000,4.880000,3.530704e-05,0.000000,1.000000,0.000000
baseline_true_centerT,9,0.311111,12.844444,13.155556,28,200,200,200,1.000000,1.000000,1.000000,0.013561,200,2.000000,22.000000,22.000000,-0.004301,0.067660,1.933006,0.053175,2.375000,4.645000,4.665000,2.211717e-05,0.000000,1.000000,0.000000
baseline_true_centerT,10,0.280000,12.860000,13.140000,14,1,0,0,0.005000,0.000000,0.000000,0.096177,1,1.005000,24.000000,24.000000,-1.737756,20.694156,2.184800,0.819710,2.460000,5.170000,5.085000,5.577584e-04,0.000000,1.000000,0.000000
baseline_true_centerT,10,0.280000,12.860000,13.140000,16,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,24.000000,24.000000,-0.131979,12.692348,2.139815,0.772651,2.435000,5.175000,5.135000,3.540182e-04,0.000000,1.000000,0.000000
baseline_true_centerT,10,0.280000,12.860000,13.140000,18,8,7,6,0.040000,0.035000,0.030000,0.056954,8,1.040000,24.000000,24.000000,0.000349,0.361753,1.986141,0.193035,2.395000,4.920000,4.920000,2.224296e-04,0.000000,1.000000,0.000000
baseline_true_centerT,10,0.280000,12.860000,13.140000,20,61,61,47,0.305000,0.305000,0.235000,0.046633,61,1.305000,24.000000,24.000000,0.007631,0.175497,1.955244,0.126578,2.500000,5.170000,5.060000,1.393692e-04,0.000000,1.000000,0.000000
baseline_true_centerT,10,0.280000,12.860000,13.140000,22,149,149,137,0.745000,0.745000,0.685000,0.038123,149,1.745000,24.000000,24.000000,-0.000869,0.153518,1.934904,0.104017,2.315000,4.610000,4.600000,8.833517e-05,0.000000,1.000000,0.000000
baseline_true_centerT,10,0.280000,12.860000,13.140000,24,192,192,190,0.960000,0.960000,0.950000,0.031312,192,1.960000,24.000000,24.000000,-0.008356,0.115992,1.942122,0.087196,2.300000,4.565000,4.500000,5.637618e-05,0.000000,1.000000,0.000000
baseline_true_centerT,10,0.280000,12.860000,13.140000,26,200,200,200,1.000000,1.000000,1.000000,0.022847,200,2.000000,24.000000,24.000000,0.007413,0.084846,1.941699,0.068763,2.355000,4.590000,4.630000,3.526569e-05,0.000000,1.000000,0.000000
baseline_true_centerT,10,0.280000,12.860000,13.140000,28,200,200,200,1.000000,1.000000,1.000000,0.016355,200,2.000000,24.000000,24.000000,-0.002434,0.069618,1.931767,0.056330,2.360000,4.615000,4.605000,2.255259e-05,0.000000,1.000000,0.000000
