case_type,num_trials,single_target_false_split_rate,pair_target_success_rate,mean_estimated_pair_sep_norm_deg,boundary_hit_rate,topK_miss_rate,mean_num_pairs
single_forced_pair2d,15,1,0,0.274886939534813,0,0,14805
pair_enhanced_mode,25,0,1,1.06866620715671,0,0,18848.16
