candidate_index,az1,az2,el1,el2,el_center,el_sep,orientation,iAz1,iAz2,iEl1,iEl2,candidate_id
4717,-0.54,0.58,9.88,10.6,10.24,0.72,1,7,14,18,30,p_-0.540000_+9.880000__+0.580000_+10.600000__sep_+0.720000
5560,-0.7,0.58,10.12,10.84,10.48,0.72,1,6,14,22,34,p_-0.700000_+10.120000__+0.580000_+10.840000__sep_+0.720000
4705,-0.7,0.58,9.88,10.6,10.24,0.72,1,6,14,18,30,p_-0.700000_+9.880000__+0.580000_+10.600000__sep_+0.720000
4718,-0.54,0.74,9.88,10.6,10.24,0.72,1,7,15,18,30,p_-0.540000_+9.880000__+0.740000_+10.600000__sep_+0.720000
4363,-0.7,0.58,10.06,10.42,10.24,0.36,1,6,14,21,27,p_-0.700000_+10.060000__+0.580000_+10.420000__sep_+0.360000
4706,-0.7,0.74,9.88,10.6,10.24,0.72,1,6,15,18,30,p_-0.700000_+9.880000__+0.740000_+10.600000__sep_+0.720000
5561,-0.7,0.74,10.12,10.84,10.48,0.72,1,6,15,22,34,p_-0.700000_+10.120000__+0.740000_+10.840000__sep_+0.720000
4364,-0.7,0.74,10.06,10.42,10.24,0.36,1,6,15,21,27,p_-0.700000_+10.060000__+0.740000_+10.420000__sep_+0.360000
4375,-0.54,0.58,10.06,10.42,10.24,0.36,1,7,14,21,27,p_-0.540000_+10.060000__+0.580000_+10.420000__sep_+0.360000
5572,-0.54,0.58,10.12,10.84,10.48,0.72,1,7,14,22,34,p_-0.540000_+10.120000__+0.580000_+10.840000__sep_+0.720000
5218,-0.7,0.58,10.3,10.66,10.48,0.36,1,6,14,25,31,p_-0.700000_+10.300000__+0.580000_+10.660000__sep_+0.360000
4376,-0.54,0.74,10.06,10.42,10.24,0.36,1,7,15,21,27,p_-0.540000_+10.060000__+0.740000_+10.420000__sep_+0.360000
5573,-0.54,0.74,10.12,10.84,10.48,0.72,1,7,15,22,34,p_-0.540000_+10.120000__+0.740000_+10.840000__sep_+0.720000
5219,-0.7,0.74,10.3,10.66,10.48,0.36,1,6,15,25,31,p_-0.700000_+10.300000__+0.740000_+10.660000__sep_+0.360000
5230,-0.54,0.58,10.3,10.66,10.48,0.36,1,7,14,25,31,p_-0.540000_+10.300000__+0.580000_+10.660000__sep_+0.360000
4716,-0.54,0.42,9.88,10.6,10.24,0.72,1,7,13,18,30,p_-0.540000_+9.880000__+0.420000_+10.600000__sep_+0.720000
5571,-0.54,0.42,10.12,10.84,10.48,0.72,1,7,13,22,34,p_-0.540000_+10.120000__+0.420000_+10.840000__sep_+0.720000
5559,-0.7,0.42,10.12,10.84,10.48,0.72,1,6,13,22,34,p_-0.700000_+10.120000__+0.420000_+10.840000__sep_+0.720000
5231,-0.54,0.74,10.3,10.66,10.48,0.36,1,7,15,25,31,p_-0.540000_+10.300000__+0.740000_+10.660000__sep_+0.360000
4728,-0.38,0.58,9.88,10.6,10.24,0.72,1,8,14,18,30,p_-0.380000_+9.880000__+0.580000_+10.600000__sep_+0.720000
4374,-0.54,0.42,10.06,10.42,10.24,0.36,1,7,13,21,27,p_-0.540000_+10.060000__+0.420000_+10.420000__sep_+0.360000
6415,-0.7,0.58,10.36,11.08,10.72,0.72,1,6,14,26,37,p_-0.700000_+10.360000__+0.580000_+11.080000__sep_+0.720000
4704,-0.7,0.42,9.88,10.6,10.24,0.72,1,6,13,18,30,p_-0.700000_+9.880000__+0.420000_+10.600000__sep_+0.720000
4362,-0.7,0.42,10.06,10.42,10.24,0.36,1,6,13,21,27,p_-0.700000_+10.060000__+0.420000_+10.420000__sep_+0.360000
4192,-0.7,0.58,10.24,10.24,10.24,0,1,6,14,24,24,p_-0.700000_+10.240000__+0.580000_+10.240000__sep_+0.000000
5229,-0.54,0.42,10.3,10.66,10.48,0.36,1,7,13,25,31,p_-0.540000_+10.300000__+0.420000_+10.660000__sep_+0.360000
6416,-0.7,0.74,10.36,11.08,10.72,0.72,1,6,15,26,37,p_-0.700000_+10.360000__+0.740000_+11.080000__sep_+0.720000
4386,-0.38,0.58,10.06,10.42,10.24,0.36,1,8,14,21,27,p_-0.380000_+10.060000__+0.580000_+10.420000__sep_+0.360000
5217,-0.7,0.42,10.3,10.66,10.48,0.36,1,6,13,25,31,p_-0.700000_+10.300000__+0.420000_+10.660000__sep_+0.360000
