rank,candidate_index,candidate_id,score
1,4717,p_-0.540000_+9.880000__+0.580000_+10.600000__sep_+0.720000,215074.535553852
2,5560,p_-0.700000_+10.120000__+0.580000_+10.840000__sep_+0.720000,214601.226171079
3,4705,p_-0.700000_+9.880000__+0.580000_+10.600000__sep_+0.720000,214415.489635184
4,4718,p_-0.540000_+9.880000__+0.740000_+10.600000__sep_+0.720000,213932.662224143
5,4363,p_-0.700000_+10.060000__+0.580000_+10.420000__sep_+0.360000,213890.541951079
6,4706,p_-0.700000_+9.880000__+0.740000_+10.600000__sep_+0.720000,213545.497814272
7,5561,p_-0.700000_+10.120000__+0.740000_+10.840000__sep_+0.720000,213354.406398926
8,4364,p_-0.700000_+10.060000__+0.740000_+10.420000__sep_+0.360000,213193.271690467
9,4375,p_-0.540000_+10.060000__+0.580000_+10.420000__sep_+0.360000,213149.324891663
10,5572,p_-0.540000_+10.120000__+0.580000_+10.840000__sep_+0.720000,213107.333168133
