rank,candidate_index,candidate_id,score,score_source
1,4717,p_-0.540000_+9.880000__+0.580000_+10.600000__sep_+0.720000,215074.619079526,fixed
2,5560,p_-0.700000_+10.120000__+0.580000_+10.840000__sep_+0.720000,214601.273789009,fixed
3,4705,p_-0.700000_+9.880000__+0.580000_+10.600000__sep_+0.720000,214415.571268198,fixed
4,4718,p_-0.540000_+9.880000__+0.740000_+10.600000__sep_+0.720000,213932.713947415,fixed
5,4363,p_-0.700000_+10.060000__+0.580000_+10.420000__sep_+0.360000,213890.614880844,fixed
6,4706,p_-0.700000_+9.880000__+0.740000_+10.600000__sep_+0.720000,213545.566623896,fixed
7,5561,p_-0.700000_+10.120000__+0.740000_+10.840000__sep_+0.720000,213354.454296114,fixed
8,4364,p_-0.700000_+10.060000__+0.740000_+10.420000__sep_+0.360000,213193.313837285,fixed
9,4375,p_-0.540000_+10.060000__+0.580000_+10.420000__sep_+0.360000,213149.420048022,fixed
10,5572,p_-0.540000_+10.120000__+0.580000_+10.840000__sep_+0.720000,213107.397898138,fixed
