step11_adapter_found_flag,1
uses_step89_results_flag,0
formal_trial_count,0
quick_mode_flag,1
smoke_ranking_pass_flag,1
smoke_topK_pass_flag,1
smoke_fixed_point_pass_flag,1
smoke_recommended_fixed_point_format,combined_int16
score_direction,higher_is_better
score_direction_inferred_flag,0
topK_default,10
reliable_margin_threshold,0.001
best_fixed_point_mode,combined_int16
best_fixed_point_reliable_top1_preservation,1
best_fixed_point_reliable_topK_preservation,1
best_fixed_point_overall_topK_preservation,1
best_fixed_point_argmax_changed_reliable,0
best_fixed_point_score_gap_flip_reliable,0
ranking_pass_flag,0
topK_pass_flag,0
fixed_point_pass_flag,0
recommended_fixed_point_format,not_recommended_until_formal_validation
blocker_if_any,formal_validation_not_run
proceed_to_rtl_score_core_flag,0
proceed_to_rtl_score_core_smoke_flag,1
proceed_to_full_fpga_backend_flag,0
cache_memory_MB_total_est,5.35227966309
BRAM36_total_est,1223
URAM288_total_est,157
