trial_index,scenario_name,quant_mode,candidate_count,topK_default,top1_same_flag,topK_order_same_flag,topK_set_same_flag,topK_jaccard,topK_miss_count,topK_miss_rate,selected_candidate_same_flag,score_rank_spearman,score_rank_kendall_if_easy,score_gap_top1_top2_baseline,score_gap_top1_top2_quant,score_gap_norm_baseline,score_gap_norm_quant,score_gap_abs_error,score_gap_rel_error,score_margin_bin,argmax_changed_flag,score_gap_sign_flip_flag,reliable_margin_flag,reliable_top1_same_flag,reliable_topK_same_flag,candidate_score_max_abs_diff,candidate_score_p95_abs_diff,candidate_score_rel_l2_error,same_policy_flag,same_estimate_flag,same_confidence_flag,same_fallback_flag,boundary_state_same_flag,false_high_rate_if_available,boundary_missed_rate_if_available,az_rmse_gap_if_available,el_rmse_gap_if_available,W_scale,Gcache_scale,Z_scale,Rz_scale,score_scale,W_clip_rate,Gcache_clip_rate,Z_clip_rate,Rz_clip_rate,score_clip_rate,max_clip_rate,max_overflow_rate,W_relative_error,Gcache_relative_error,Z_relative_error,Rz_relative_error,score_relative_error
1,easy_noncoherent,double_baseline,7353,10,1,1,1,1,0,0,1,1,NaN,473.309382773063,473.309382773063,0.00110155011042039,0.00110155011042039,0,0,reliable,0,0,1,1,1,0,0,0,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
1,easy_noncoherent,float32_all,7353,10,1,1,1,1,0,0,1,0.999999999728337,NaN,473.309382773063,473.3125,0.00110155011042039,0.00110155723508407,0.00311722693732008,6.58602396398023e-06,reliable,0,0,1,1,1,0.498507304961095,0.0796325000701472,4.09339947942683e-07,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0
1,easy_noncoherent,W_int16_only,7353,10,1,1,1,1,0,0,1,0.999999999849077,NaN,473.309382773063,473.311599991284,0.00110155011042039,0.00110155526910133,0.0022172182216309,4.68450088320769e-06,reliable,0,0,1,1,1,0.271738115901826,0.0821277444192674,3.40783211067387e-07,1,1,1,1,1,NaN,NaN,0,0,1.02326866867281e-06,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,1.89921494063163e-05,0,0,0,0
1,easy_noncoherent,Gcache_int16_only,7353,10,1,1,1,1,0,0,1,0.999999988861828,NaN,473.309382773063,473.591331030475,0.00110155011042039,0.00110220458810844,0.281948257412296,0.000595695474618303,reliable,0,0,1,1,1,20.9184195446724,4.07889411691576,1.78276460662835e-05,1,1,1,1,1,NaN,NaN,0,0,NaN,0.00123168326408523,NaN,NaN,NaN,0,0,0,0,0,0,0,0,3.11345193977878e-05,0,0,0
1,easy_noncoherent,Z_int16_only,7353,10,1,1,1,1,0,0,1,0.999999999245382,NaN,473.309382773063,473.348606399173,0.00110155011042039,0.00110164107247702,0.0392236261104699,8.28710089807716e-05,reliable,0,0,1,1,1,0.286703328791191,0.189714918218669,8.32874039574948e-07,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,0.00147545670076468,NaN,NaN,0,0,0,0,0,0,0,0,0,2.74838479460062e-05,0,0
1,easy_noncoherent,Rz_int18_only,7353,10,1,1,1,1,0,0,1,0.999999998098361,NaN,473.309382773063,473.130300507939,0.00110155011042039,0.00110113424465984,0.179082265123725,0.000378361958671733,reliable,0,0,1,1,1,1.18582847135986,0.680738094772096,2.88655055559045e-06,1,1,1,1,1,NaN,NaN,0,0,NaN,NaN,NaN,0.872881850110679,NaN,0,0,0,0,0,0,0,0,0,0,1.53844345527975e-05,0
1,easy_noncoherent,combined_int16,7353,10,1,1,1,1,0,0,1,0.999999975429615,NaN,473.309382773063,472.595335005666,0.00110155011042039,0.00109987473648831,0.714047767396551,0.00150862795749586,reliable,0,0,1,1,1,25.8022071241867,6.67630076760543,3.00230725112166e-05,1,1,1,1,1,NaN,NaN,0,0,1.02326866867281e-06,0.0012316833403547,0.00147545694186797,3.49160442794285,6.56382409730113,0,0,0,0,0,0,0,1.89921494063163e-05,3.11406035697417e-05,2.7467608657479e-05,6.27889649768155e-05,1.59558527709495e-05
1,easy_noncoherent,combined_int18,7353,10,1,1,1,1,0,0,1,0.999999994415822,NaN,473.309382773063,472.578869952296,0.00110155011042039,0.00109984953447338,0.730512820766307,0.00154341504173511,reliable,0,0,1,1,1,4.87617139160284,1.48204822228217,6.54064900205671e-06,1,1,1,1,1,NaN,NaN,0,0,2.55811311933242e-07,0.000307913774244636,0.000368855731569558,0.872881564870671,1.64089885400107,0,0,0,0,0,0,0,4.75555370558934e-06,7.77744768055423e-06,6.86279955124188e-06,1.4916442272518e-05,4.01740717560313e-06
1,easy_noncoherent,combined_int24,7353,10,1,1,1,1,0,0,1,0.999999999939631,NaN,473.309382773063,473.319471057592,0.00110155011042039,0.00110157360753509,0.0100882845290471,2.13143556756493e-05,reliable,0,0,1,1,1,0.124461207378772,0.0229428219463443,1.03112176769832e-07,1,1,1,1,1,NaN,NaN,0,0,3.99702173035428e-09,4.8111164869768e-06,5.76332754480586e-06,0.0136386764587089,0.0256388858164566,0,0,0,0,0,0,0,7.42029538126525e-08,1.2062533238579e-07,1.06663216405203e-07,2.45781278899987e-07,6.27759248349543e-08
1,easy_noncoherent,mixed_Z16_G24_score_float,7353,10,1,1,1,1,0,0,1,0.999999999185012,NaN,473.309382773063,473.359375,0.00110155011042039,0.00110166612865213,0.0499922269373201,0.000105622725339653,reliable,0,0,1,1,1,0.288715476519428,0.190661026688758,8.38283615775228e-07,1,1,1,1,1,NaN,NaN,0,0,NaN,4.81111649577584e-06,0.00147545670076468,NaN,NaN,0,0,0,0,0,0,0,0,1.20552980091729e-07,2.74838479460062e-05,0,2.53051326321141e-08
