route_name,K_phi,P_phi,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,degraded_rate,mean_pair_sep_est,mean_pair_center_est,mean_objective_best,mean_objective_true_pair,objective_true_rank_median,psd_violation_rate,sigma2_negative_rate
covfit_rank1_equal_phase,24,42,7,0.376822064,28,1.000000000,1.000000000,1.000000000,0.016271110,0.000000000,0.405000000,0.000000000,1.76128372e-10,2.01677106e-08,1.000000000,NaN,NaN
covfit_rank1_equal_phase,24,42,7,0.376822064,30,1.000000000,1.000000000,1.000000000,0.013011858,0.000000000,0.397800000,0.000000000,0,2.0539844e-08,1.000000000,NaN,NaN
covfit_rank1_equal_phase,24,42,10,0.263775445,24,1.000000000,1.000000000,1.000000000,0.024913193,0.000000000,0.310800000,0.000000000,0,2.36690011e-08,1.000000000,NaN,NaN
covfit_rank1_equal_phase,24,42,10,0.263775445,28,1.000000000,1.000000000,1.000000000,0.023280754,0.000000000,0.304800000,0.000000000,0,2.22580486e-08,1.000000000,NaN,NaN
covfit_rank1_equal_phase,24,42,10,0.263775445,30,1.000000000,1.000000000,1.000000000,0.022273661,0.000000000,0.305000000,0.000000000,0,2.93286794e-08,1.000000000,NaN,NaN
covfit_hermitian_lsq_psd,20,46,7,0.376822064,24,1.000000000,0.000000000,0.000000000,0.469557555,0.000000000,0.426900000,-0.423350000,0,2.31476027e-08,1.000000000,0.040000000,0.580000000
covfit_hermitian_lsq_psd,20,46,7,0.376822064,28,1.000000000,0.020000000,0.020000000,0.448953521,0.000000000,0.537800000,-0.395900000,0,3.76870166e-08,72.500000000,0.040000000,0.780000000
covfit_hermitian_lsq_psd,20,46,7,0.376822064,30,1.000000000,0.020000000,0.020000000,0.402580226,0.000000000,0.546500000,-0.349150000,0,3.02052071e-08,52.000000000,0.080000000,0.800000000
covfit_hermitian_lsq_psd,20,46,10,0.263775445,24,1.000000000,0.000000000,0.000000000,0.466204708,0.000000000,0.587900000,-0.401650000,0,3.31911013e-08,78.500000000,0.020000000,0.340000000
covfit_hermitian_lsq_psd,20,46,10,0.263775445,28,1.000000000,0.020000000,0.000000000,0.468275451,0.000000000,0.518600000,-0.405900000,0,3.77418285e-08,102.000000000,0.020000000,0.800000000
covfit_hermitian_lsq_psd,20,46,10,0.263775445,30,1.000000000,0.060000000,0.000000000,0.449015601,0.000000000,0.485300000,-0.383150000,0,3.0051889e-08,49.000000000,0.100000000,0.640000000
covfit_hermitian_lsq_psd,24,42,7,0.376822064,24,1.000000000,0.080000000,0.080000000,0.366448528,0.000000000,0.474400000,-0.304000000,0,2.19481482e-08,33.500000000,0.120000000,0.400000000
covfit_hermitian_lsq_psd,24,42,7,0.376822064,28,1.000000000,0.100000000,0.100000000,0.370573374,0.000000000,0.609300000,-0.307750000,0,2.01001812e-08,1.000000000,0.160000000,0.540000000
covfit_hermitian_lsq_psd,24,42,7,0.376822064,30,1.000000000,0.100000000,0.080000000,0.344287670,0.000000000,0.650600000,-0.279800000,0,2.05920414e-08,28.000000000,0.240000000,0.500000000
covfit_hermitian_lsq_psd,24,42,10,0.263775445,24,1.000000000,0.020000000,0.000000000,0.412240493,0.000000000,0.488100000,-0.352450000,0,2.35305348e-08,1.000000000,0.040000000,0.420000000
covfit_hermitian_lsq_psd,24,42,10,0.263775445,28,1.000000000,0.000000000,0.000000000,0.401531064,0.000000000,0.539500000,-0.335350000,0,2.24975718e-08,1.000000000,0.060000000,0.640000000
covfit_hermitian_lsq_psd,24,42,10,0.263775445,30,1.000000000,0.000000000,0.000000000,0.379565380,0.000000000,0.510400000,-0.315600000,0,3.02374796e-08,42.000000000,0.120000000,0.620000000
