group,case_name,snr_db,beta,phi_deg,rho,el_a_deg,el_b_deg,el_diff_deg,el_assumed_deg,oracle_dispatch_route,full_observable_dispatch_route,cascade_dispatch_route,route_agreement_with_6b,oracle_dispatch_success_rate,full_6b_success_rate,cascade_success_rate,cascade_vs_full_success_gap,false_high_confidence_rate,false_medium_high_confidence_rate,boundary_missed_rate,low_confidence_rate,boundary_unreliable_rate,mean_routes_evaluated,mean_full_routes_available,mean_estimated_cost,mean_full_dispatch_cost,cost_reduction_vs_full_dispatch,heavy_route_trigger_rate,music2d_trigger_rate,pair_local_trigger_rate,early_stop_rate,cascade_route_distribution,cascade_confidence_distribution,main_failure_reason
phase_scan,phase_180,16,1,180,1,0,0,0,0,anti_phase_boundary,boundary_unreliable,boundary_unreliable,1,0,0,0,0,0,0,0,1,1,4,4,13,13,0,1,1,0,0,boundary_unreliable:1.000,low:1.000,boundary_unreliable
large_el,A_el2_beta1_phase0_rho1,0,1,0,1,0,2,2,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,A_el2_beta1_phase0_rho1,8,1,0,1,0,2,2,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,A_el2_beta1_phase0_rho1,16,1,0,1,0,2,2,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,B_el5_beta1_phase0_rho1,0,1,0,1,0,5,5,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,B_el5_beta1_phase0_rho1,8,1,0,1,0,5,5,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,B_el5_beta1_phase0_rho1,16,1,0,1,0,5,5,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,C_el5_beta05_phase0_rho1,0,0.5,0,1,0,5,5,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,C_el5_beta05_phase0_rho1,8,0.5,0,1,0,5,5,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,C_el5_beta05_phase0_rho1,16,0.5,0,1,0,5,5,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,D_el5_beta1_phase180_rho1,0,1,180,1,0,5,5,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,D_el5_beta1_phase180_rho1,8,1,180,1,0,5,5,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,D_el5_beta1_phase180_rho1,16,1,180,1,0,5,5,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,E_el5_beta1_phase0_rho07,0,1,0,0.7,0,5,5,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,E_el5_beta1_phase0_rho07,8,1,0,0.7,0,5,5,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,E_el5_beta1_phase0_rho07,16,1,0,0.7,0,5,5,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,F_el10_beta05_phase180_rho07,0,0.5,180,0.7,0,10,10,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,F_el10_beta05_phase180_rho07,8,0.5,180,0.7,0,10,10,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
large_el,F_el10_beta05_phase180_rho07,16,0.5,180,0.7,0,10,10,0,pair_el_local_covfit,pair_el_local_covfit,pair_el_local_covfit,1,1,1,1,0,0,0,0,0,0,5,5,23,23,0,1,1,1,0,pair_el_local_covfit:1.000,medium:1.000,
