route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_theta_search_4b_deg,mean_routeB_beam_span_4b_deg,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e
baseline_true_centerT,10,0.280000,12.860000,13.140000,16,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000,-0.131639,12.692351,2.140938,0.772372,1.792000,2.688000,1.524496,2.210519,2.293862,1.361157,1.315785
baseline_true_centerT,10,0.280000,12.860000,13.140000,18,8,7,0.040000,0.035000,0.056954,8,1.040000,24.000000,-0.000331,0.361419,1.984590,0.191659,1.792000,2.688000,1.516918,2.199531,2.126346,1.354391,1.309244
baseline_true_centerT,10,0.280000,12.860000,13.140000,20,62,62,0.310000,0.310000,0.046576,62,1.310000,24.000000,0.004915,0.174936,1.954238,0.125841,1.792000,2.688000,1.510570,2.190326,2.093826,1.348723,1.303766
baseline_true_centerT,10,0.280000,12.860000,13.140000,22,149,149,0.745000,0.745000,0.038017,149,1.745000,24.000000,-0.001887,0.153228,1.934458,0.104163,1.792000,2.688000,1.505870,2.183511,2.072634,1.344527,1.299709
baseline_true_centerT,10,0.280000,12.860000,13.140000,24,192,192,0.960000,0.960000,0.031204,192,1.960000,24.000000,-0.008865,0.115394,1.942031,0.087165,1.792000,2.688000,1.507688,2.186147,2.080748,1.346150,1.301278
baseline_true_centerT,10,0.280000,12.860000,13.140000,26,200,200,1.000000,1.000000,0.022858,200,2.000000,24.000000,0.008092,0.085122,1.942225,0.068899,1.792000,2.688000,1.507734,2.186214,2.080955,1.346191,1.301318
baseline_true_centerT,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.016340,200,2.000000,24.000000,-0.002264,0.069603,1.931170,0.055832,1.792000,2.688000,1.505081,2.182367,2.069111,1.343822,1.299028
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,14,107,103,0.535000,0.515000,0.053478,107,1.365000,18.000000,-2.846632,24.348469,2.301489,0.733454,2.396064,3.594096,2.019324,2.928019,1.726117,1.262077,1.220008
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,16,172,171,0.860000,0.855000,0.037707,172,1.785000,18.000000,-2.201287,14.715738,2.139051,0.519862,2.375720,3.563580,1.988511,2.883341,1.604288,1.242819,1.201392
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,18,191,191,0.955000,0.955000,0.028273,191,1.945000,18.000000,-0.348264,4.358890,1.980374,0.209656,2.334708,3.502062,1.959065,2.840644,1.485281,1.224415,1.183602
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.020468,200,2.000000,18.000000,-0.005088,0.187513,1.978600,0.162909,2.350706,3.526058,1.960857,2.843243,1.483950,1.225536,1.184685
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.015979,200,2.000000,18.000000,0.007099,0.140603,1.960504,0.118424,2.346924,3.520386,1.956962,2.837594,1.470378,1.223101,1.182331
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012993,200,2.000000,18.000000,-0.014469,0.106565,1.957452,0.080853,2.347978,3.521966,1.957673,2.838627,1.468089,1.223546,1.182761
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.009951,200,2.000000,18.000000,-0.001918,0.090764,1.937267,0.069280,2.324070,3.486105,1.952887,2.831686,1.452950,1.220555,1.179869
fft_guided_centerT_proto4,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.008155,200,2.000000,18.000000,0.000960,0.070227,1.939892,0.053415,2.327871,3.491806,1.953574,2.832682,1.454919,1.220984,1.180284
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,14,27,24,0.135000,0.120000,0.060948,27,0.945000,18.000000,-3.321395,19.312429,2.266691,0.686847,2.206816,3.310224,1.823316,2.643808,1.942878,1.302368,1.258956
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,16,107,100,0.535000,0.500000,0.055186,107,1.475000,18.000000,-1.107940,12.818322,2.123566,0.647859,2.199058,3.298587,1.795747,2.603834,1.820199,1.282677,1.239921
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,18,186,185,0.930000,0.925000,0.041200,186,1.930000,18.000000,-0.012532,0.214816,2.004595,0.216028,2.216333,3.324499,1.782953,2.585282,1.718224,1.273538,1.231086
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,20,197,197,0.985000,0.985000,0.029058,197,1.985000,18.000000,-0.003720,0.200164,1.978048,0.165814,2.226490,3.339735,1.776200,2.575490,1.695470,1.268714,1.226424
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.021180,200,2.000000,18.000000,-0.010894,0.130631,1.954002,0.098030,2.229304,3.343956,1.770961,2.567893,1.674859,1.264972,1.222806
fft_guided_centerT_proto4,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016969,200,2.000000,18.000000,0.015397,0.104739,1.941537,0.086765,2.230151,3.345226,1.767969,2.563555,1.664175,1.262835,1.220740
