stress_group,stress_case_name,adaptive_policy_name,adaptive_confidence,adaptive_boundary_flag,failure_reason,row_id,trial_id,seed,az_sep_deg,el_sep_deg,rho,phase_deg,beta,snr_db,truth_az1,truth_az2,truth_el1,truth_el2,true_orientation,fixed_success,adaptive_success,full_success,fixed_rmse,adaptive_rmse,full_rmse,fixed_num_pairs,adaptive_num_pairs,full_num_pairs,adaptive_vs_fixed_pair_count_ratio,cond_best_GHG,cond_risk,boundary_margin,boundary_risk,U_search,U_confidence,H_norm,gap_13,gap_17,adaptive_topK,az_window_scale,el_window_scale,adaptive_topK_miss,adaptive_boundary_hit,high_confidence_misuse_flag,ill_conditioned_real_trigger_flag
close_same_elevation_coherent_pair,ill_real_sep_0p30_phase0,SCORE_AMBIGUOUS,medium_low,,,1,1,20961610,0.3,0,1,0,1,40,7.85,8.15,10.31,10.31,0,0,0,0,0.381837661840735,0.381837661840735,0.517880295048962,18504,20376,131461,1.1011673151751,8.26038607686183,0.114625043250585,3,0,0.630963396880262,0.611716347803717,0.999992120106068,0.000203245860552635,0.000354782805859333,5,1,1,1,0,0,0
close_same_elevation_coherent_pair,ill_real_sep_0p30_phase0,SCORE_AMBIGUOUS,medium_low,,,2,2,20961611,0.3,0,1,0,1,40,7.85,8.15,10.31,10.31,0,0,0,0,0.381837661840735,0.381837661840735,0.517880295048962,18504,20376,131461,1.1011673151751,8.26038607686183,0.114625043250585,3,0,0.630963714768984,0.611716473854212,0.999992130922073,0.000203244393373921,0.000355615940027403,5,1,1,1,0,0,0
close_same_elevation_coherent_pair,ill_real_sep_0p30_phase0,SCORE_AMBIGUOUS,medium_low,,,3,3,20961612,0.3,0,1,0,1,40,7.85,8.15,10.31,10.31,0,0,0,0,0.381837661840735,0.381837661840735,0.517880295048962,18504,20376,131461,1.1011673151751,8.26038607686183,0.114625043250585,3,0,0.631030948581155,0.611742351610381,0.999992184058192,0.000202934083471591,0.000355072527224604,5,1,1,1,0,0,0
close_same_elevation_coherent_pair,ill_real_sep_0p30_phase0,SCORE_AMBIGUOUS,medium_low,,,4,4,20961613,0.3,0,1,0,1,40,7.85,8.15,10.31,10.31,0,0,0,0,0.381837661840735,0.381837661840735,0.517880295048962,18504,20376,131461,1.1011673151751,8.26038607686183,0.114625043250585,3,0,0.631006384151344,0.611732893736183,0.999992155439397,0.000203047457763028,0.000354404170659184,5,1,1,1,0,0,0
close_same_elevation_coherent_pair,ill_real_sep_0p30_phase0,SCORE_AMBIGUOUS,medium_low,,,5,5,20961614,0.3,0,1,0,1,40,7.85,8.15,10.31,10.31,0,0,0,0,0.381837661840735,0.381837661840735,0.517880295048962,18504,20376,131461,1.1011673151751,8.26038607686183,0.114625043250585,3,0,0.630960460123573,0.611715238812259,0.999992178764199,0.000203259414814277,0.00035577637616163,5,1,1,1,0,0,0
close_same_elevation_coherent_pair,ill_real_sep_0p30_phase0,SCORE_AMBIGUOUS,medium_low,,,6,6,20961615,0.3,0,1,0,1,40,7.85,8.15,10.31,10.31,0,0,0,0,0.381837661840735,0.381837661840735,0.517880295048962,18504,20376,131461,1.1011673151751,8.26038607686183,0.114625043250585,3,0,0.630852342675994,0.611673632708902,0.999992114565134,0.000203758418418491,0.000356625656214989,5,1,1,1,0,0,0
close_same_elevation_coherent_pair,ill_real_sep_0p30_phase0,SCORE_AMBIGUOUS,medium_low,,,7,7,20961616,0.3,0,1,0,1,40,7.85,8.15,10.31,10.31,0,0,0,0,0.381837661840735,0.381837661840735,0.517880295048962,18504,20376,131461,1.1011673151751,8.26038607686183,0.114625043250585,3,0,0.630556733321706,0.611559948743229,0.999992148678913,0.000205122769284436,0.000355361989694501,5,1,1,1,0,0,0
close_same_elevation_coherent_pair,ill_real_sep_0p30_phase0,SCORE_AMBIGUOUS,medium_low,,,8,8,20961617,0.3,0,1,0,1,40,7.85,8.15,10.31,10.31,0,0,0,0,0.381837661840735,0.381837661840735,0.517880295048962,18504,20376,131461,1.1011673151751,8.26038607686183,0.114625043250585,3,0,0.630501614816867,0.611538733802833,0.999992104349032,0.000205377162383691,0.000355883716607864,5,1,1,1,0,0,0
close_same_elevation_coherent_pair,ill_real_sep_0p30_phase0,SCORE_AMBIGUOUS,medium_low,,,9,9,20961618,0.3,0,1,0,1,40,7.85,8.15,10.31,10.31,0,0,0,0,0.381837661840735,0.381837661840735,0.517880295048962,18504,20376,131461,1.1011673151751,8.26038607686183,0.114625043250585,3,0,0.630656960694187,0.611598473494501,0.999992079427071,0.000204660181411445,0.000355718903133263,5,1,1,1,0,0,0
close_same_elevation_coherent_pair,ill_real_sep_0p30_phase0,SCORE_AMBIGUOUS,medium_low,,,10,10,20961619,0.3,0,1,0,1,40,7.85,8.15,10.31,10.31,0,0,0,0,0.381837661840735,0.381837661840735,0.517880295048962,18504,20376,131461,1.1011673151751,8.26038607686183,0.114625043250585,3,0,0.630264256765421,0.611447436780945,0.999992088738633,0.000206472661082675,0.000355697140321651,5,1,1,1,0,0,0
close_same_elevation_coherent_pair,ill_real_sep_0p20_phase0,SCORE_AMBIGUOUS,medium_low,,,11,1,20962610,0.2,0,1,0,1,40,7.9,8.1,10.31,10.31,0,0,0,0,0.359583091927304,0.359583091927304,0.359583091927304,18504,18756,131461,1.0136186770428,42.1973670726862,0.203160669221286,4,0,0.665108019341899,0.646979817949012,0.999983595968896,4.56552953450835e-05,0.000498983546420205,5,1,1,0,0,0,0
close_same_elevation_coherent_pair,ill_real_sep_0p20_phase0,SCORE_AMBIGUOUS,medium_low,,,12,2,20962611,0.2,0,1,0,1,40,7.9,8.1,10.31,10.31,0,0,0,0,0.359583091927304,0.359583091927304,0.359583091927304,18504,18756,131461,1.0136186770428,42.1973670726862,0.203160669221286,4,0,0.665400809263414,0.647092467646228,0.999983705080158,4.430395724578e-05,0.000497273934795666,5,1,1,0,0,0,0
close_same_elevation_coherent_pair,ill_real_sep_0p20_phase0,SCORE_AMBIGUOUS,medium_low,,,13,3,20962612,0.2,0,1,0,1,40,7.9,8.1,10.31,10.31,0,0,0,0,0.359583091927304,0.359583091927304,0.359583091927304,18504,18756,131461,1.0136186770428,42.1973670726862,0.203160669221286,4,0,0.665153502645669,0.646997346950571,0.999983697177999,4.5445372404605e-05,0.000497644255268892,5,1,1,0,0,0,0
