route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_peak_ratio,std_peak_ratio,adaptive_use_rate,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg,mean_theta_search_selected_deg,mean_routeB_beam_span_selected_deg
baseline_true_centerT,9,0.311111,12.844444,13.155556,16,13,12,0.065000,0.060000,0.057199,13,1.065000,22.000000,-0.357392,13.224978,2.134858,0.661328,2.247840,1.053085,0.375000,1.986282,2.979422,1.524229,2.286343
baseline_true_centerT,9,0.311111,12.844444,13.155556,18,78,76,0.390000,0.380000,0.055156,78,1.390000,22.000000,-0.229767,4.168507,1.977797,0.265928,3.247480,1.282474,0.665000,1.990305,2.985458,1.740978,2.611467
baseline_true_centerT,9,0.311111,12.844444,13.155556,20,165,164,0.825000,0.820000,0.043016,165,1.825000,22.000000,0.003395,0.184517,1.965681,0.140217,4.972194,1.957196,0.730000,1.990902,2.986354,1.789302,2.683954
baseline_true_centerT,9,0.311111,12.844444,13.155556,22,198,198,0.990000,0.990000,0.030632,198,1.990000,22.000000,-0.010713,0.149882,1.944860,0.116863,6.955737,2.132688,0.840000,1.991111,2.986667,1.871644,2.807467
baseline_true_centerT,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.023838,200,2.000000,22.000000,-0.000383,0.109567,1.950221,0.090753,9.792172,2.995611,0.850000,1.991111,2.986667,1.879111,2.818667
baseline_true_centerT,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.018130,200,2.000000,22.000000,0.001644,0.086394,1.937049,0.066387,13.307069,3.765234,0.950000,1.991111,2.986667,1.953778,2.930667
baseline_true_centerT,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013706,200,2.000000,22.000000,-0.002264,0.068265,1.936411,0.055138,15.592868,4.848336,0.970000,1.991111,2.986667,1.968711,2.953067
baseline_true_centerT,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000,-5.506668,21.273561,2.194153,0.640647,1.708294,0.719731,0.175000,1.789192,2.683788,1.237600,1.856400
baseline_true_centerT,10,0.280000,12.860000,13.140000,16,1,1,0.005000,0.005000,0.043012,1,1.005000,24.000000,-1.292545,10.645811,2.059819,0.540109,2.374965,1.061826,0.440000,1.792000,2.688000,1.415680,2.123520
baseline_true_centerT,10,0.280000,12.860000,13.140000,18,15,14,0.075000,0.070000,0.072984,15,1.075000,24.000000,0.307738,4.680274,2.025902,0.459536,3.226109,1.337258,0.565000,1.792000,2.688000,1.499680,2.249520
baseline_true_centerT,10,0.280000,12.860000,13.140000,20,62,61,0.310000,0.305000,0.047272,62,1.310000,24.000000,-0.003566,0.179377,1.960498,0.146912,4.748748,1.569257,0.745000,1.792000,2.688000,1.620640,2.430960
baseline_true_centerT,10,0.280000,12.860000,13.140000,22,144,144,0.720000,0.720000,0.041003,144,1.720000,24.000000,-0.006312,0.130945,1.951327,0.102199,6.870162,2.054926,0.860000,1.792000,2.688000,1.697920,2.546880
baseline_true_centerT,10,0.280000,12.860000,13.140000,24,190,190,0.950000,0.950000,0.030039,190,1.950000,24.000000,-0.007341,0.108913,1.947206,0.082952,10.185645,3.029747,0.895000,1.792000,2.688000,1.721440,2.582160
baseline_true_centerT,10,0.280000,12.860000,13.140000,26,199,199,0.995000,0.995000,0.022595,199,1.995000,24.000000,0.005547,0.084904,1.934771,0.062397,13.357617,3.918757,0.965000,1.792000,2.688000,1.768480,2.652720
baseline_true_centerT,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.018104,200,2.000000,24.000000,0.002658,0.071765,1.931784,0.052353,15.623599,4.815179,0.980000,1.792000,2.688000,1.778560,2.667840
fft_guided_centerT,6,0.466667,12.766667,13.233333,14,126,126,0.630000,0.630000,0.033160,126,1.510000,16.000000,-3.711231,20.826249,2.227827,0.601786,1.683873,0.687020,0.185000,2.503737,3.755605,1.943100,2.914650
