Step 08 Route B FFT confidence-gated adaptive window prototype 4c
Prototype scope: add a conservative FFT-confidence gate on top of prototype4b adaptive window.
Route comparison: baseline_true_centerT vs fft_guided_centerT vs fft_guided_centerT_adaptive_window vs fft_confidence_gated_adaptive_window.
Common experiment settings:
snr_list=[14 16 18 20 22 24 26 28], Metkl=200, T_snap=260, tol_deg=0.100
sep_factor_list=[6 7 8 9 10]
Route B internal settings: K_fbss=56, M_full=48, center_beam_count=37, search_scale_B=4.00
FFT settings: Nfft_spatial=4096, gamma_search=1.20, gamma_span=1.50.
Adaptive bounds: search in [0.60, 1.60] x fixed, span in [0.80, 1.60] x fixed.
Confidence gate: fwhm_fft_deg <= 2.050 and peak_ratio >= 1.800.

=== sep_factor = 6, theta_sep = 0.4667 deg ===
sample metkl=1 | center_true=13.0000 center_fft=12.8727 err_fft=-0.1273 fwhm=2.0971 p1=0.2346 p2=0.0273 peak_ratio=8.5930 use_adapt=0 search_fixed=1.8667 search_adapt=2.5165 search_selected=1.8667 span_fixed=2.8000 span_adapt=3.7748 span_selected=2.8000 doa_true=[12.76 13.22] doa_fft=[12.75 13.21] doa_adapt=[12.75 13.21] doa_gated=[12.75 13.21]
SNR=24 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0088 mean_num_peaks=2.00
SNR=24 dB | fft-guided raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0088 mean_num_peaks=2.00 mean_fft_err=-0.0051 std_fft_err=0.1235
SNR=24 dB | adaptive-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0091 mean_num_peaks=2.00 mean_fwhm=1.9538 mean_search_adapt=2.3445 mean_span_adapt=3.5168
SNR=24 dB | gated-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0091 mean_num_peaks=2.00 adaptive_use=0.855 mean_peak_ratio=9.9230 mean_search_selected=2.2486 mean_span_selected=3.3728
sample metkl=1 | center_true=13.0000 center_fft=13.1103 err_fft=0.1103 fwhm=2.0420 p1=0.2771 p2=0.01963 peak_ratio=14.1173 use_adapt=1 search_fixed=1.8667 search_adapt=2.4504 search_selected=2.4504 span_fixed=2.8000 span_adapt=3.6756 span_selected=3.6756 doa_true=[12.77 13.23] doa_fft=[12.77 13.22] doa_adapt=[12.77 13.23] doa_gated=[12.77 13.23]
SNR=26 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0073 mean_num_peaks=2.00
SNR=26 dB | fft-guided raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0073 mean_num_peaks=2.00 mean_fft_err=-0.0004 std_fft_err=0.0925
SNR=26 dB | adaptive-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0073 mean_num_peaks=2.00 mean_fwhm=1.9617 mean_search_adapt=2.3541 mean_span_adapt=3.5311
SNR=26 dB | gated-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0075 mean_num_peaks=2.00 adaptive_use=0.885 mean_peak_ratio=13.9569 mean_search_selected=2.2798 mean_span_selected=3.4197
sample metkl=1 | center_true=13.0000 center_fft=12.9405 err_fft=-0.0595 fwhm=1.9830 p1=0.1977 p2=0.01808 peak_ratio=10.9371 use_adapt=1 search_fixed=1.8667 search_adapt=2.3797 search_selected=2.3797 span_fixed=2.8000 span_adapt=3.5695 span_selected=3.5695 doa_true=[12.76 13.23] doa_fft=[12.76 13.23] doa_adapt=[12.76 13.22] doa_gated=[12.76 13.22]
SNR=28 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0062 mean_num_peaks=2.00
SNR=28 dB | fft-guided raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0064 mean_num_peaks=2.00 mean_fft_err=0.0010 std_fft_err=0.0707
SNR=28 dB | adaptive-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0064 mean_num_peaks=2.00 mean_fwhm=1.9475 mean_search_adapt=2.3370 mean_span_adapt=3.5055
SNR=28 dB | gated-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0064 mean_num_peaks=2.00 adaptive_use=0.955 mean_peak_ratio=16.2479 mean_search_selected=2.3084 mean_span_selected=3.4626
sample metkl=1 | center_true=13.0000 center_fft=13.1103 err_fft=0.1103 fwhm=1.9640 p1=0.2135 p2=0.01278 peak_ratio=16.7045 use_adapt=1 search_fixed=1.8667 search_adapt=2.3568 search_selected=2.3568 span_fixed=2.8000 span_adapt=3.5351 span_selected=3.5351 doa_true=[12.78 13.24] doa_fft=[12.78 13.24] doa_adapt=[12.77 13.24] doa_gated=[12.77 13.24]

=== sep_factor = 7, theta_sep = 0.4000 deg ===
SNR=14 dB | baseline raw=162 tol=159 raw_rate=0.810 tol_rate=0.795 RMSE=0.0543 mean_num_peaks=1.81
SNR=14 dB | fft-guided raw=104 tol=99 raw_rate=0.520 tol_rate=0.495 RMSE=0.0560 mean_num_peaks=1.37 mean_fft_err=-3.9593 std_fft_err=24.3801
SNR=14 dB | adaptive-window raw=113 tol=102 raw_rate=0.565 tol_rate=0.510 RMSE=1.4870 mean_num_peaks=1.48 mean_fwhm=2.3004 mean_search_adapt=2.3610 mean_span_adapt=3.5416
