obs_id,chunk_id,total_chunks,run_tag,scenario_name,center_az,trial_id,quant_mode,stage_name,elapsed_sec,num_candidates,num_topK,score_lanes_assumed,comment
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,double_baseline,ranking_compare,0.2225731,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,float32_all,score_recompute,0.3702308,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,float32_all,ranking_compare,0.1772255,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,combined_int16,score_recompute,0.3514444,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,combined_int16,ranking_compare,0.1585939,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,combined_int18,score_recompute,0.3478111,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,combined_int18,ranking_compare,0.1526829,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,combined_int24,score_recompute,0.3356494,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,combined_int24,ranking_compare,0.1711696,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,mixed_Z16_G24_Rz24,score_recompute,0.2911595,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,mixed_Z16_G24_Rz24,ranking_compare,0.1541364,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,combined_int14,score_recompute,0.3550074,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,combined_int14,ranking_compare,0.1643748,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,W_int18_G24_Z16,score_recompute,0.3654518,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0001,1,120,formal_tps30,easy_noncoherent,0,1,W_int18_G24_Z16,ranking_compare,0.1607533,7353,10,NaN,ranking and topK comparison
