trial_index,obs_id,obs_global_index,chunk_id,total_chunks,run_tag,scenario_name,center_az,trial_id,quant_mode,score_gap_top1_top2_baseline,score_gap_top1_top2_quant,score_gap_same_baseline_pair_quant,score_gap_norm_baseline,score_gap_norm_quant,score_gap_abs_error,score_gap_rel_error,score_gap_sign_flip_flag,score_margin_bin
241,cp00p00_cache_boundary_center_t0001,241,1,120,formal_tps30,cache_boundary_center,0,1,combined_int14,571.482564580219,567.686419232108,567.686419232108,0.00178525214859196,0.00177337491591756,3.79614534811117,0.00664262671057972,0,reliable
241,cp00p00_cache_boundary_center_t0001,241,1,120,formal_tps30,cache_boundary_center,0,1,W_int18_G24_Z16,571.482564580219,571.496723933116,571.496723933116,0.00178525214859196,0.00178530110647584,0.0141593528969679,2.47765264848782e-05,0,reliable
361,cp04p00_hard_phase_t0001,361,1,120,formal_tps30,hard_phase,3.75,1,double_baseline,426.64188799198,426.64188799198,426.64188799198,0.00149874712001743,0.00149874712001743,0,0,0,reliable
361,cp04p00_hard_phase_t0001,361,1,120,formal_tps30,hard_phase,3.75,1,float32_all,426.64188799198,426.640625,426.640625,0.00149874712001743,0.00149874328961775,0.00126299198018387,2.96030937357846e-06,0,reliable
361,cp04p00_hard_phase_t0001,361,1,120,formal_tps30,hard_phase,3.75,1,combined_int16,426.64188799198,426.32469001037,426.32469001037,0.00149874712001743,0.00149764655541293,0.317197981610661,0.000743475946779571,0,reliable
361,cp04p00_hard_phase_t0001,361,1,120,formal_tps30,hard_phase,3.75,1,combined_int18,426.64188799198,426.317238720687,426.317238720687,0.00149874712001743,0.00149761222540597,0.32464927129331,0.000760940921252001,0,reliable
361,cp04p00_hard_phase_t0001,361,1,120,formal_tps30,hard_phase,3.75,1,combined_int24,426.64188799198,426.638972986926,426.638972986926,0.00149874712001743,0.0014987368454607,0.00291500505409203,6.83243988960322e-06,0,reliable
361,cp04p00_hard_phase_t0001,361,1,120,formal_tps30,hard_phase,3.75,1,mixed_Z16_G24_Rz24,426.64188799198,426.655086927873,426.655086927873,0.00149874712001743,0.00149879662891335,0.0131989358924329,3.09368026532853e-05,0,reliable
361,cp04p00_hard_phase_t0001,361,1,120,formal_tps30,hard_phase,3.75,1,combined_int14,426.64188799198,435.063159201847,435.063159201847,0.00149874712001743,0.00152839762792694,8.42127120986697,0.0197385007119256,0,reliable
361,cp04p00_hard_phase_t0001,361,1,120,formal_tps30,hard_phase,3.75,1,W_int18_G24_Z16,426.64188799198,426.655097183713,426.655097183713,0.00149874712001743,0.00149879662891338,0.0132091917330399,3.09608411757455e-05,0,reliable
481,cp04p00_medium_beta_coherent_t0001,481,1,120,formal_tps30,medium_beta_coherent,3.75,1,double_baseline,468.357609296101,468.357609296101,468.357609296101,0.0014276850133389,0.0014276850133389,0,0,0,reliable
481,cp04p00_medium_beta_coherent_t0001,481,1,120,formal_tps30,medium_beta_coherent,3.75,1,float32_all,468.357609296101,468.34375,468.34375,0.0014276850133389,0.00142764279190423,0.0138592961011454,2.9591269205543e-05,0,reliable
481,cp04p00_medium_beta_coherent_t0001,481,1,120,formal_tps30,medium_beta_coherent,3.75,1,combined_int16,468.357609296101,466.205009055207,466.205009055207,0.0014276850133389,0.00142112742775937,2.15260024089366,0.00459606121085301,0,reliable
481,cp04p00_medium_beta_coherent_t0001,481,1,120,formal_tps30,medium_beta_coherent,3.75,1,combined_int18,468.357609296101,468.704627650353,468.704627650353,0.0014276850133389,0.00142874606521797,0.347018354252214,0.000740926051727334,0,reliable
481,cp04p00_medium_beta_coherent_t0001,481,1,120,formal_tps30,medium_beta_coherent,3.75,1,combined_int24,468.357609296101,468.368778896751,468.368778896751,0.0014276850133389,0.00142771914420409,0.0111696006497368,2.38484449233647e-05,0,reliable
481,cp04p00_medium_beta_coherent_t0001,481,1,120,formal_tps30,medium_beta_coherent,3.75,1,mixed_Z16_G24_Rz24,468.357609296101,468.30903641379,468.30903641379,0.0014276850133389,0.00142753981932389,0.0485728823114187,0.000103708963722014,0,reliable
481,cp04p00_medium_beta_coherent_t0001,481,1,120,formal_tps30,medium_beta_coherent,3.75,1,combined_int14,468.357609296101,461.214102372149,461.214102372149,0.0014276850133389,0.00140595390916318,7.14350692395237,0.0152522490980523,0,reliable
481,cp04p00_medium_beta_coherent_t0001,481,1,120,formal_tps30,medium_beta_coherent,3.75,1,W_int18_G24_Z16,468.357609296101,468.309058932326,468.309058932326,0.0014276850133389,0.00142753981932396,0.0485503637755755,0.000103660883931281,0,reliable
601,cp08p00_easy_noncoherent_t0001,601,1,120,formal_tps30,easy_noncoherent,7.5,1,double_baseline,350.851722599939,350.851722599939,350.851722599939,0.000823415792940751,0.000823415792940751,0,0,0,weak_margin
601,cp08p00_easy_noncoherent_t0001,601,1,120,formal_tps30,easy_noncoherent,7.5,1,float32_all,350.851722599939,350.8125,350.8125,0.000823415792940751,0.000823323660661572,0.0392225999385118,0.000111792524910119,0,weak_margin
601,cp08p00_easy_noncoherent_t0001,601,1,120,formal_tps30,easy_noncoherent,7.5,1,combined_int16,350.851722599939,351.39049981744,351.39049981744,0.000823415792940751,0.000824679291386646,0.538777217501774,0.00153562654191702,0,weak_margin
