quant_mode,is_fixed_candidate,recommendation_candidate_flag,num_trials,reliable_trial_count,overall_top1_preservation_rate,overall_topK_set_preservation_rate,overall_topK_miss_rate,reliable_top1_preservation_rate,reliable_topK_set_preservation_rate,reliable_topK_miss_rate,argmax_changed_rate_on_reliable_margin,reliable_score_gap_sign_flip_rate,mean_score_rank_spearman,min_score_rank_spearman,max_candidate_score_rel_l2_error,max_score_gap_rel_error,same_policy_rate,same_estimate_rate,same_confidence_rate,same_fallback_rate,boundary_state_same_rate,max_clip_rate,max_overflow_rate,ranking_pass_flag,topK_pass_flag,fixed_point_pass_flag,mode_storage_cost_bits
double_baseline,0,0,100,61,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,16
float32_all,0,0,100,61,1,1,0,1,1,0,0,0,0.999999999680042,0.99999999942649,9.35094700462783e-07,0.00114912101747332,1,1,1,1,1,0,0,1,1,0,16
combined_int16,1,1,100,61,0.93,0.98,0.002,0.934426229508197,0.983606557377049,0.00163934426229508,0.0655737704918033,0,0.999999974706389,0.999999965317725,4.38600986481403e-05,0.0863009497308392,1,0.93,1,1,1,0,0,0,0,0,16
combined_int18,1,1,100,61,0.99,1,0,0.983606557377049,1,0,0.0163934426229508,0,0.999999994386241,0.999999992363259,1.08497833801868e-05,0.0149797636765715,1,0.99,1,1,1,0,0,0,1,0,18
combined_int24,1,1,100,61,1,1,0,1,1,0,0,0,0.999999999910653,0.999999999758522,1.52000452498456e-07,0.000201085166790164,1,1,1,1,1,0,0,1,1,0,24
mixed_Z16_G24_Rz24,1,1,100,61,1,1,0,1,1,0,0,0,0.999999999203727,0.999999998007807,5.13776503841791e-06,0.000662525450975994,1,1,1,1,1,0,0,1,1,0,24
combined_int14,1,1,100,61,0.72,0.98,0.002,0.786885245901639,0.983606557377049,0.00163934426229508,0.213114754098361,0,0.999999846425737,0.999999760272731,0.000158011579099747,0.144116053880801,1,0.72,1,1,1,0,0,0,0,0,16
W_int18_G24_Z16,1,1,100,61,1,1,0,1,1,0,0,0,0.99999999920433,0.999999998007807,5.47666027105322e-06,0.000662449734563806,1,1,1,1,1,0,0,1,1,0,24
