case_type,trial_index,scenario_name,quant_mode,metric_name,metric_value,topK_miss_count,argmax_changed_flag,score_gap_norm_baseline,score_gap_rel_error,max_clip_rate,note
max_topK_miss_count,1086,medium_beta_coherent,combined_int16,topK_miss_count,1,1,1,0.0004537743895975,0.00927452689088954,0,see trial CSV for full fields
argmax_changed_largest_baseline_gap,366,hard_phase,combined_int14,score_gap_norm_baseline,0.00255127738045149,0,1,0.00255127738045149,0.00743589135566764,0,see trial CSV for full fields
max_score_gap_rel_error,726,low_snr_hard,combined_int14,score_gap_rel_error,0.144116053880801,0,0,0.000142666266933075,0.144116053880801,0,see trial CSV for full fields
policy_changed_sample,NaN,,,same_policy_flag,NaN,NaN,0,NaN,NaN,NaN,no matching sample
max_clip_or_overflow_sample,1,easy_noncoherent,double_baseline,max_clip_rate,0,0,0,0.00110155011042046,0,0,see trial CSV for full fields
