stage_name,total_elapsed_sec,mean_elapsed_sec,p95_elapsed_sec,max_elapsed_sec,num_calls
score_recompute,3557.4735725,0.370570163802083,0.5711336,1.0697462,9600
ranking_compare,1806.9528677,0.188224257052083,0.2898957,0.592071,9600
build_candidate_score_pack,1134.1254056,0.945104504666667,1.3915798,1.6418462,1200
build_step11_input,10.4718639,0.00872655325,0.0181917,0.0715528,1200
run_step11_backend,0,0,0,0,1200
