rank,candidate_index,candidate_id,score
1,4717,p_+6.960000_+9.880000__+8.080000_+10.600000__sep_+0.720000,209422.993207218
2,5560,p_+6.800000_+10.120000__+8.080000_+10.840000__sep_+0.720000,209388.175675924
3,4705,p_+6.800000_+9.880000__+8.080000_+10.600000__sep_+0.720000,209374.413341392
4,4718,p_+6.960000_+9.880000__+8.240000_+10.600000__sep_+0.720000,208887.990369305
5,4363,p_+6.800000_+10.060000__+8.080000_+10.420000__sep_+0.360000,208551.45985261
6,5561,p_+6.800000_+10.120000__+8.240000_+10.840000__sep_+0.720000,207699.020555668
7,5572,p_+6.960000_+10.120000__+8.080000_+10.840000__sep_+0.720000,207656.555838118
8,4706,p_+6.800000_+9.880000__+8.240000_+10.600000__sep_+0.720000,207472.264458775
9,4364,p_+6.800000_+10.060000__+8.240000_+10.420000__sep_+0.360000,207267.494240589
10,5573,p_+6.960000_+10.120000__+8.240000_+10.840000__sep_+0.720000,207263.614632237
