object,row,col,real_value,imag_value
Rz,1,1,25941.7676630455,0
Rz,2,1,-2254.7732262445,19908.9825563099
Rz,3,1,4823.06126905952,2157.3936241279
Rz,4,1,2915.84613492223,-4942.60858547908
Rz,5,1,1693.45503193012,-3492.99841088158
Rz,6,1,-2884.17797163228,482.147786089502
Rz,7,1,-3025.89300235481,-1722.74808297333
Rz,1,2,-2254.7732262445,-19908.9825563099
Rz,2,2,16262.393553472,0
Rz,3,2,1296.01958264124,-4076.48431949893
Rz,4,2,-4138.23723791433,-1796.37656262246
Rz,5,2,-2887.34478796127,-1170.93033764593
Rz,6,2,525.691510613185,2244.48107317527
Rz,7,2,-1170.13863356369,2583.33042037774
Rz,1,3,4823.06126905952,-2157.3936241279
Rz,2,3,1296.01958264124,4076.48431949893
Rz,3,3,1125.01150087551,0
Rz,4,3,121.130724584062,-1182.01419479742
Rz,5,3,61.7529184154042,-817.830316962982
Rz,6,3,-520.941286119692,312.723112488265
Rz,7,3,-740.243316902602,-87.0874490473649
Rz,1,4,2915.84613492223,4942.60858547908
Rz,2,4,-4138.23723791433,1796.37656262246
Rz,3,4,121.130724584062,1182.01419479742
Rz,4,4,1280.18550099626,0
Rz,5,4,859.790633322167,-48.2939490171751
Rz,6,4,-403.769081946874,-501.940388145721
Rz,7,4,2.37511224674632,-781.411929179538
Rz,1,5,1693.45503193012,3492.99841088158
Rz,2,5,-2887.34478796127,1170.93033764593
Rz,3,5,61.7529184154042,817.830316962982
Rz,4,5,859.790633322167,48.2939490171751
Rz,5,5,624.654520894281,0
Rz,6,5,-262.054051224344,-383.184775808406
Rz,7,5,18.2091938917218,-552.609449409643
Rz,1,6,-2884.17797163228,-482.147786089502
Rz,2,6,525.691510613185,-2244.48107317527
Rz,3,6,-520.941286119692,-312.723112488265
Rz,4,6,-403.769081946874,501.940388145721
Rz,5,6,-262.054051224344,383.184775808406
Rz,6,6,348.34979618946,0
Rz,7,6,327.765490050992,244.636561414871
Rz,1,7,-3025.89300235481,1722.74808297333
Rz,2,7,-1170.13863356369,-2583.33042037774
Rz,3,7,-740.243316902602,87.0874490473649
Rz,4,7,2.37511224674632,781.411929179538
Rz,5,7,18.2091938917218,552.609449409643
Rz,6,7,327.765490050992,-244.636561414871
Rz,7,7,498.773571816726,0
