candidate_index,candidate_id,score_baseline,score_fixed,score_abs_diff,score_rel_diff
4556,p_+7.120000_+10.420000__+7.920000_+10.060000__sep_+0.360000,45766.5380315181,45767.0975152198,0.559483701646968,1.22247328662191e-05
5420,p_+7.280000_+10.660000__+7.760000_+10.300000__sep_+0.360000,45766.3829324012,45767.0975152198,0.714582818625786,1.56137053627606e-05
4555,p_+7.120000_+10.420000__+7.760000_+10.060000__sep_+0.360000,45689.8043589115,45690.2766172634,0.472258351932396,1.03361867829991e-05
4565,p_+7.280000_+10.420000__+7.760000_+10.060000__sep_+0.360000,45593.4090311091,45593.9013089181,0.492277808989456,1.07971265902396e-05
5421,p_+7.280000_+10.660000__+7.920000_+10.300000__sep_+0.360000,45497.3567046206,45497.5260005728,0.169295952233369,3.72100632861988e-06
4231,p_+7.440000_+10.240000__+7.600000_+10.240000__sep_+0.000000,45475.8793145672,45475.1781029855,0.70121158168331,1.5419417771625e-05
5753,p_+7.120000_+10.840000__+7.920000_+10.120000__sep_+0.720000,45475.3218860232,45475.1781029855,0.143783037681715,3.16178163712803e-06
5411,p_+7.120000_+10.660000__+7.920000_+10.300000__sep_+0.360000,45474.6072847544,45475.1781029855,0.570818231084559,1.25524609263845e-05
4566,p_+7.280000_+10.420000__+7.920000_+10.060000__sep_+0.360000,45468.7646801128,45469.5911285887,0.826448475891084,1.81761805429598e-05
4223,p_+7.280000_+10.240000__+7.760000_+10.240000__sep_+0.000000,45449.9335623852,45450.0367181998,0.103155814533238,2.26965820294644e-06
5410,p_+7.120000_+10.660000__+7.760000_+10.300000__sep_+0.360000,45390.8462430053,45391.3734870331,0.527244027798588,1.16156465771959e-05
4222,p_+7.280000_+10.240000__+7.600000_+10.240000__sep_+0.000000,45342.6707455456,45342.4874610608,0.183284484810429,4.04220752321772e-06
4214,p_+7.120000_+10.240000__+7.920000_+10.240000__sep_+0.000000,45196.4314380282,45197.2261267433,0.794688715046505,1.75829969261213e-05
5419,p_+7.280000_+10.660000__+7.600000_+10.300000__sep_+0.360000,45196.4261706165,45197.2261267433,0.799956126735196,1.76995438470148e-05
4557,p_+7.120000_+10.420000__+8.080000_+10.060000__sep_+0.360000,45161.4860826359,45162.3075367631,0.821454127239122,1.81892625441075e-05
4232,p_+7.440000_+10.240000__+7.760000_+10.240000__sep_+0.000000,45112.4271988972,45112.0247671916,0.40243170557369,8.92063962329936e-06
4213,p_+7.120000_+10.240000__+7.760000_+10.240000__sep_+0.000000,45106.8682254212,45107.834536394,0.966310972835345,2.14227014832024e-05
4224,p_+7.280000_+10.240000__+7.920000_+10.240000__sep_+0.000000,45076.8820524303,45077.1061772115,0.224124781132559,4.97205598363864e-06
5754,p_+7.120000_+10.840000__+8.080000_+10.120000__sep_+0.720000,45071.3848081204,45071.5192028146,0.134394694265211,2.98181861589923e-06
5752,p_+7.120000_+10.840000__+7.760000_+10.120000__sep_+0.720000,45068.7500313611,45068.7257156162,0.0243157449222053,5.39525611544256e-07
4554,p_+7.120000_+10.420000__+7.600000_+10.060000__sep_+0.360000,45051.0660488797,45051.9647924257,0.898743546051264,1.99494401547822e-05
5086,p_+7.440000_+10.480000__+7.600000_+10.480000__sep_+0.000000,45015.2770349642,45015.6494588463,0.372423882174189,8.27327757829683e-06
5078,p_+7.280000_+10.480000__+7.760000_+10.480000__sep_+0.000000,45002.8305513577,45003.0787664535,0.248215095802152,5.51554408380794e-06
5412,p_+7.120000_+10.660000__+8.080000_+10.300000__sep_+0.360000,44970.9406081551,44970.9536636717,0.0130555166542763,2.90310064181953e-07
5077,p_+7.280000_+10.480000__+7.600000_+10.480000__sep_+0.000000,44962.2844254879,44962.5732020765,0.288776588538894,6.42264049144252e-06
5763,p_+7.280000_+10.840000__+7.920000_+10.120000__sep_+0.720000,44937.90435298,44938.82856089,0.924207909913093,2.05663331038668e-05
4898,p_+7.120000_+10.600000__+7.920000_+9.880000__sep_+0.720000,44858.1656523451,44859.2141757351,1.04852339005447,2.3374192297131e-05
4221,p_+7.280000_+10.240000__+7.440000_+10.240000__sep_+0.000000,44801.4944556126,44801.9476881677,0.453232555031718,1.01164606346059e-05
5409,p_+7.120000_+10.660000__+7.600000_+10.300000__sep_+0.360000,44795.4366714733,44796.3607137708,0.92404229757085,2.06280453151448e-05
4545,p_+6.960000_+10.420000__+7.920000_+10.060000__sep_+0.360000,44773.9933477814,44774.0128161835,0.0194684021553257,4.34814960642559e-07
5069,p_+7.120000_+10.480000__+7.920000_+10.480000__sep_+0.000000,44773.2769176496,44774.0128161835,0.735898533894215,1.64361106569826e-05
5068,p_+7.120000_+10.480000__+7.760000_+10.480000__sep_+0.000000,44731.1701394175,44732.1105082073,0.940368789757486,2.10226736038104e-05
7155,p_+7.760000_+11.140000__+7.920000_+10.780000__sep_+0.360000,35253.5522805365,35260.7921619838,7.23988144729083,0.000205366012187316
3418,p_+8.560000_+10.000000__+8.720000_+10.000000__sep_+0.000000,21443.2118864172,21449.7914530238,6.57956660661876,0.000306836804181675
7183,p_+6.000000_+11.200000__+6.160000_+11.200000__sep_+0.000000,31231.3975245934,31225.5999038744,5.79762071898585,0.000185634367287614
1558,p_+6.160000_+9.520000__+6.320000_+9.520000__sep_+0.000000,25844.0746623434,25849.5337905262,5.45912818282159,0.000211233261555923
6835,p_+8.400000_+10.960000__+8.560000_+10.960000__sep_+0.000000,24750.4473861446,24755.883552347,5.43616620239118,0.000219639108642309
5302,p_+6.000000_+10.660000__+6.160000_+10.300000__sep_+0.360000,15157.6196066763,15163.0485129925,5.42890631625232,0.000358163514926917
790,p_+7.120000_+9.280000__+7.280000_+9.280000__sep_+0.000000,18674.8907373093,18680.0488957961,5.15815848670536,0.00027620822843157
5971,p_+8.080000_+10.720000__+8.240000_+10.720000__sep_+0.000000,32481.9631198106,32486.8593739585,4.89625414783586,0.000150737630289644
