candidate_index,vector_slot,beam_index,real_value,imag_value
4556,1,1,33.3955336465728,23.5685324312513
4556,1,2,-1.32868097009148,-0.497478411502784
4556,1,3,-0.289770605464698,1.46528405796185
4556,1,4,5.49452275584028,-0.45156070090017
4556,1,5,-1.11997846199276,-4.16111042504612
4556,1,6,-1.60463992390155,1.08308652289512
4556,1,7,-2.33443146462554,1.84270626177992
4556,2,1,15.7738880569961,1.63884896404124
4556,2,2,28.0852227828795,-14.843704535082
4556,2,3,-1.21303405471083,-7.21302838772727
4556,2,4,-1.48630541037671,1.22974514604119
4556,2,5,-4.69992264055934,-4.62038859252186
4556,2,6,-2.00817381672902,3.8982582297246
4556,2,7,-3.49727068846529,10.1265906052735
5420,1,1,21.0622722482616,30.3462106593665
5420,1,2,5.38201705223697,1.26255478973085
5420,1,3,0.975997899733278,-1.12164381430767
5420,1,4,7.45708107632766,2.01167246565022
5420,1,5,0.685047991103055,-5.91498876895121
5420,1,6,-6.30908290500416,0.781364978803682
5420,1,7,-3.22821366140356,0.651865067338932
5420,2,1,21.3996919327283,10.1385552826082
5420,2,2,28.5385563387377,-3.82004534756213
5420,2,3,1.26573468546565,-5.78744204144728
5420,2,4,1.83710573904013,-0.518817203185792
5420,2,5,-3.7620168059179,-8.33846972917301
5420,2,6,-5.58826859326002,4.93144348888197
5420,2,7,-3.61297735606364,4.36771329937643
4555,1,1,33.3955336465728,23.5685324312513
4555,1,2,-1.32868097009148,-0.497478411502784
4555,1,3,-0.289770605464698,1.46528405796185
4555,1,4,5.49452275584028,-0.45156070090017
4555,1,5,-1.11997846199276,-4.16111042504612
4555,1,6,-1.60463992390155,1.08308652289512
4555,1,7,-2.33443146462554,1.84270626177992
4555,2,1,23.5487201566899,2.35022871597978
4555,2,2,23.4643408341728,-12.186684549009
4555,2,3,-1.1170409751373,-7.22168490868511
4555,2,4,-1.44076728400512,1.12402587507972
4555,2,5,-6.88284600730291,-6.66422924792703
4555,2,6,-2.61777680982246,5.31057131967315
4555,2,7,-2.97061347671808,8.88981299691014
4565,1,1,32.2661102576996,22.9071825119802
4565,1,2,5.7207873538413,-0.0978970648219144
4565,1,3,0.62731507620036,-0.978859753891491
4565,1,4,5.40837291283648,-0.452630042917216
4565,1,5,-1.75175708254874,-6.79669647056024
4565,1,6,-4.99276250537738,3.04828061665338
4565,1,7,-2.72239481775173,2.1713988878513
4565,2,1,23.5487201566899,2.35022871597978
4565,2,2,23.4643408341728,-12.186684549009
4565,2,3,-1.1170409751373,-7.22168490868511
4565,2,4,-1.44076728400512,1.12402587507972
4565,2,5,-6.88284600730291,-6.66422924792703
4565,2,6,-2.61777680982246,5.31057131967315
4565,2,7,-2.97061347671808,8.88981299691014
5421,1,1,21.0622722482616,30.3462106593665
5421,1,2,5.38201705223697,1.26255478973085
5421,1,3,0.975997899733278,-1.12164381430767
5421,1,4,7.45708107632766,2.01167246565022
5421,1,5,0.685047991103055,-5.91498876895121
5421,1,6,-6.30908290500416,0.781364978803682
5421,1,7,-3.22821366140356,0.651865067338932
5421,2,1,14.3678521899971,6.71251795571239
5421,2,2,34.4284221935734,-4.70821518820502
5421,2,3,1.16156295009366,-5.68188527096063
5421,2,4,1.0102483783777,-0.306324558753976
5421,2,5,-2.57820085338293,-5.93529401205984
5421,2,6,-4.30128787712343,3.71750581888606
5421,2,7,-3.71399646756271,4.47766589683308
4231,1,1,34.3600427898978,12.8203489349791
4231,1,2,13.0531445924194,-2.82716795987408
4231,1,3,0.650089823906903,-3.46001007248946
4231,1,4,2.14370820218143,-0.772576650610737
4231,1,5,-4.82426421424594,-8.32213821118605
4231,1,6,-4.87427804302106,5.45389795074179
4231,1,7,-2.53462984570715,3.93258875995043
4231,2,1,28.9872417158831,10.8412723174266
4231,2,2,20.6604806906525,-4.53383440137397
4231,2,3,0.768488546901137,-5.35591127382506
4231,2,4,1.61952347598515,-0.589201512482193
4231,2,5,-5.12690951177228,-8.90692893902533
4231,2,6,-5.2926370020759,5.77886536776106
4231,2,7,-3.18972078269713,4.78726903609153
5753,1,1,12.1110213826898,33.1395998133339
5753,1,2,-0.62192676594313,-2.29113285464986
5753,1,3,0.523597184576071,-0.733417726377804
5753,1,4,7.21677086059834,4.14218350853752
5753,1,5,1.0510551901609,-2.64020170041708
5753,1,6,-1.80731697291141,-0.852597381375724
5753,1,7,-3.62910180544132,-0.494274206491331
5753,2,1,15.6578736614664,2.96740508680058
5753,2,2,30.1057488056963,-12.6698959818262
5753,2,3,-0.514790171569033,-6.93947185541217
5753,2,4,-0.897661580432061,0.638831236148598
5753,2,5,-4.2276207595223,-5.04779093380142
5753,2,6,-2.55750784463482,3.97102841727204
5753,2,7,-3.87009771587697,8.61982405127784
5411,1,1,21.8873001984993,31.4028203727574
5411,1,2,-1.17115062160493,-1.60619889211277
5411,1,3,-0.0503097774180731,-0.0487058949435362
5411,1,4,7.36753571750866,1.98099346620401
5411,1,5,0.361975350889392,-3.49251632068421
5411,1,6,-1.93043216010021,0.0167760210129661
5411,1,7,-3.43681312484692,0.701007730258394
5411,2,1,14.3678521899971,6.71251795571239
5411,2,2,34.4284221935734,-4.70821518820502
5411,2,3,1.16156295009366,-5.68188527096063
5411,2,4,1.0102483783777,-0.306324558753976
5411,2,5,-2.57820085338293,-5.93529401205984
5411,2,6,-4.30128787712343,3.71750581888606
5411,2,7,-3.71399646756271,4.47766589683308
4566,1,1,32.2661102576996,22.9071825119802
4566,1,2,5.7207873538413,-0.0978970648219144
4566,1,3,0.62731507620036,-0.978859753891491
4566,1,4,5.40837291283648,-0.452630042917216
4566,1,5,-1.75175708254874,-6.79669647056024
4566,1,6,-4.99276250537738,3.04828061665338
4566,1,7,-2.72239481775173,2.1713988878513
4566,2,1,15.7738880569961,1.63884896404124
4566,2,2,28.0852227828795,-14.843704535082
4566,2,3,-1.21303405471083,-7.21302838772727
4566,2,4,-1.48630541037671,1.22974514604119
4566,2,5,-4.69992264055934,-4.62038859252186
4566,2,6,-2.00817381672902,3.8982582297246
4566,2,7,-3.49727068846529,10.1265906052735
4223,1,1,37.8385560415315,14.028814373872
4223,1,2,5.59496394650606,-1.19391850298939
4223,1,3,0.443572413383972,-0.652763687358916
4223,1,4,2.55557067136644,-0.904400530036063
4223,1,5,-3.85548581976244,-6.59222428668948
4223,1,6,-3.47424984771955,4.08780860642038
4223,1,7,-1.82373260825077,2.97295587297622
4223,2,1,22.2881449765403,8.3154855479053
4223,2,2,27.6558919466025,-6.16350431186749
4223,2,3,0.777956235603777,-6.24620022649061
4223,2,4,1.01709943425272,-0.367652334395409
4223,2,5,-4.59844827237005,-8.07309258893802
4223,2,6,-4.83758514190705,5.18253992247211
4223,2,7,-3.69298938099479,5.43037146711114
5410,1,1,21.8873001984993,31.4028203727574
5410,1,2,-1.17115062160493,-1.60619889211277
5410,1,3,-0.0503097774180731,-0.0487058949435362
5410,1,4,7.36753571750866,1.98099346620401
5410,1,5,0.361975350889392,-3.49251632068421
5410,1,6,-1.93043216010021,0.0167760210129661
5410,1,7,-3.43681312484692,0.701007730258394
5410,2,1,21.3996919327283,10.1385552826082
5410,2,2,28.5385563387377,-3.82004534756213
5410,2,3,1.26573468546565,-5.78744204144728
5410,2,4,1.83710573904013,-0.518817203185792
5410,2,5,-3.7620168059179,-8.33846972917301
5410,2,6,-5.58826859326002,4.93144348888197
5410,2,7,-3.61297735606364,4.36771329937643
4222,1,1,37.8385560415315,14.028814373872
