method_name,B,beam_count,projection_loss,projected_energy_ratio,mean_corr,median_corr,p90_corr,max_corr,min_corr,num_pairs,cond_WHW,rank_W,min_sv,max_sv,effective_rank,mean_cond_GHG,max_cond_GHG,method_type,selection_note,selected_idx_text
regular_3dB_grid,9,9,0.416905908172554,0.826189463730818,0.569393018833094,0.568810075360877,0.75374862243907,0.75506127532399,0.376172858705939,10,256705.411875064,9,0.00511720085598305,2.59269127039426,2.08592950196637,4.62680956998839,7.16530837973458,regular,az3_el3,[45 46 47 58 59 60 71 72 73]
greedy_projection,9,9,0.460204444553322,0.788211869213368,0.213555123336967,0.207474961306181,0.291627811336945,0.294023589064002,0.124911469298172,10,19.3498400235435,9,0.372438038662575,1.63829731859774,6.45583585185208,1.58972379927939,1.89182868302023,greedy_projection,greedy_projection,[60 57 62 54 22 19 17 113 110]
greedy_lowcorr,9,9,0.831627690199814,0.308395384892923,0.236493337954895,0.232321869663826,0.314479296517467,0.335832914832266,0.148941088635562,10,4.59805211972638,9,0.611027146926772,1.31022973284207,8.31201677247693,2.65557825541481,4.84500609112664,greedy_lowcorr,greedy_lowcorr,[9 6 92 116 3 107 11 1 110]
greedy_combined,9,9,0.493758441038186,0.75620260190354,0.233776060798218,0.236787401266209,0.24914606706282,0.249406406984317,0.210571881781569,10,13.5679285154592,9,0.412555042158774,1.51963284890913,6.82696446462799,1.74115974201276,1.90948074494558,greedy_combined,greedy_combined,[60 57 36 6 55 89 108 8 113]
svd_upper_bound,9,9,0.155262400405404,0.975893587020352,0.203658928374985,0.197027909596371,0.290796394477091,0.312638231577082,0.113554256256945,10,1,9,0.999999999999999,1,9,1.53308547907152,1.9096759438379,svd_upper_bound,svd_upper_bound,[1 2 3 4 5 6 7 8 9]
random_pool_baseline,9,9,0.625751563721727,0.608434980499814,0.243737141912058,0.244758660765941,0.274701027470108,0.277718238572699,0.203311369976799,10,180.820647509412,9,0.122754908110154,1.65067995329076,6.21572678349867,1.86649147250133,2.42894036347261,random_pool_baseline,random_pool_baseline,[27 55 64 70 73 103 106 114 115]
regular_3dB_grid,15,15,0.279777845899341,0.921724356943925,0.247513424418227,0.248269749708337,0.479335916101926,0.480886658542504,0.00676232407685763,10,47736627.5365346,15,0.000404932648819729,2.79860143682973,2.92895688133611,1.91744458482809,2.85272351731292,regular,az5_el3,[44 45 46 47 48 57 58 59 60 61 70 71 72 73 74]
greedy_projection,15,15,0.38938610783644,0.848378459023988,0.2175576318704,0.210906447637635,0.322522407404096,0.324009235768376,0.104357842009146,10,49.8880958985186,15,0.252629777276495,1.7843621553807,9.30382103306555,1.61403292749989,1.99464588772129,greedy_projection,greedy_projection,[60 57 62 54 22 19 17 113 110 37 94 90 27 115 92]
greedy_lowcorr,15,15,0.698303264233764,0.51237255116047,0.23320979323405,0.24029533563806,0.283038608181692,0.283129884481769,0.161108883649458,10,1320.09606815011,15,0.0427339612289208,1.55265845394251,10.3539089922547,1.75102107671847,1.86961209830895,greedy_lowcorr,greedy_lowcorr,[9 6 92 116 3 107 11 1 110 113 13 117 81 37 8]
greedy_combined,15,15,0.413016896694748,0.82941704304464,0.229455600030428,0.231934273829198,0.248170503712992,0.253030314285175,0.186631857092184,10,86.4049489112802,15,0.176286124546498,1.63865466978065,10.078851261487,1.62370454675516,1.68777484457499,greedy_combined,greedy_combined,[60 57 36 6 55 89 108 8 113 110 4 11 116 106 13]
