trial_index,scenario_trial_index,rng_seed,gate_mode,backend_mode,scenario_name,SNR_dB,target_count,az_sep_deg,beta,rho,phase_deg,frontend_state,frontend_boundary_unreliable_flag,az_truth,el_truth,route_name,status,confidence,az_est,el_est,reject_reason,success,safe,false_high,false_split,boundary_missed,low_confidence,boundary_unreliable,out_of_scope_reject,az_error_mean,el_error_mean,az_error_max,el_error_max,eval_failure_reason,common_el_gate_mode_debug,common_el_proxy_flag,selected_common_el_gate_pass,rank1_without_common_el_gate_pass,rank1_refocus_consensus_gate_pass,rank1_refocus_pair_error_deg,rank1_refocus_pair_agree_tol_deg,low_cost_boundary_flag,boundary_unreliable_flag_debug,music_peak_count,music_peak_sep_deg,music_peak2_ratio,music_reliable_flag,music_failure_reason,refocus_route_reliable,refocus_score,refocus_score_gap,refocus_peak_sharpness,refocus_best_az_pair,common_el_proxy_failure_reason,rank1_route_reliable,rank1_score,rank1_score_gap,rank1_residual,rank1_best_az_pair,rank1_failure_reason,rank1_truth_az_error,refocus_truth_az_error,truth_pair_in_rank1_top1,truth_pair_in_rank1_top3,truth_pair_in_rank1_top5,truth_pair_in_refocus_top1,truth_pair_in_refocus_top3,truth_pair_in_refocus_top5,rank1_candidate_correct_but_rejected,refocus_candidate_correct_but_rejected,final_step87_route,final_confidence_flag,final_failure_reason,runtime_sec
21,7,916708,rank1_refocus_consensus_gate,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.08 0.08],[0 0],rank1_refocus_consensus_gate,1,1,0,0,0,0,0,0,0.00499999999999545,0,0.00499999999999545,0,ok,rank1_refocus_consensus_gate,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,1.06331819327729e-06,0.00566870730200059,0.0505116258805256,[-0.08 0.08],refocus_sharpness_below_proxy_gate,1,1.06331819327729e-06,0.00566870730200059,1.06331819327729e-06,[-0.08 0.08],ok,0.00499999999999545,0.00499999999999545,1,1,1,1,1,1,0,0,common_el_refocus_power_rank1,medium,rank1_refocus_consensus_gate,0.0372997
22,8,916709,current_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],no_reliable_observable_route,0,1,0,0,0,1,0,0,NaN,NaN,NaN,NaN,ok,current_common_el_proxy,0,0,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,1.11715942214811e-07,1.35334245906455,0.0502526449495688,[-0.1 0.1],refocus_sharpness_below_proxy_gate,1,1.11715942214811e-07,1.35334245906455,1.11715942214811e-07,[-0.1 0.1],ok,0.0250000000000057,0.0250000000000057,1,1,1,1,1,1,1,1,low_confidence,low,no_reliable_observable_route,0.2089303
23,8,916709,rank1_reliable_without_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.1 0.1],[0 0],rank1_without_common_el_proxy,1,1,0,0,0,0,0,0,0.0250000000000057,0,0.0250000000000057,0,ok,rank1_reliable_without_common_el_proxy,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,1.11715942214811e-07,1.35334245906455,0.0502526449495688,[-0.1 0.1],refocus_sharpness_below_proxy_gate,1,1.11715942214811e-07,1.35334245906455,1.11715942214811e-07,[-0.1 0.1],ok,0.0250000000000057,0.0250000000000057,1,1,1,1,1,1,0,0,level2_rank1_fallback,medium,rank1_without_common_el_proxy,0.0354943
24,8,916709,rank1_refocus_consensus_gate,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.1 0.1],[0 0],rank1_refocus_consensus_gate,1,1,0,0,0,0,0,0,0.0250000000000057,0,0.0250000000000057,0,ok,rank1_refocus_consensus_gate,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,1.11715942214811e-07,1.35334245906455,0.0502526449495688,[-0.1 0.1],refocus_sharpness_below_proxy_gate,1,1.11715942214811e-07,1.35334245906455,1.11715942214811e-07,[-0.1 0.1],ok,0.0250000000000057,0.0250000000000057,1,1,1,1,1,1,0,0,common_el_refocus_power_rank1,medium,rank1_refocus_consensus_gate,0.0357327
25,9,916710,current_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],no_reliable_observable_route,0,1,0,0,0,1,0,0,NaN,NaN,NaN,NaN,ok,current_common_el_proxy,0,0,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,1.84605060382356e-07,0.823533277968481,0.0505163977090305,[-0.1 0.1],refocus_sharpness_below_proxy_gate,1,1.84605060382356e-07,0.823533277968481,1.84605060382356e-07,[-0.1 0.1],ok,0.0250000000000057,0.0250000000000057,1,1,1,1,1,1,1,1,low_confidence,low,no_reliable_observable_route,0.2111129
26,9,916710,rank1_reliable_without_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.1 0.1],[0 0],rank1_without_common_el_proxy,1,1,0,0,0,0,0,0,0.0250000000000057,0,0.0250000000000057,0,ok,rank1_reliable_without_common_el_proxy,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,1.84605060382356e-07,0.823533277968481,0.0505163977090305,[-0.1 0.1],refocus_sharpness_below_proxy_gate,1,1.84605060382356e-07,0.823533277968481,1.84605060382356e-07,[-0.1 0.1],ok,0.0250000000000057,0.0250000000000057,1,1,1,1,1,1,0,0,level2_rank1_fallback,medium,rank1_without_common_el_proxy,0.0334782
27,9,916710,rank1_refocus_consensus_gate,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.1 0.1],[0 0],rank1_refocus_consensus_gate,1,1,0,0,0,0,0,0,0.0250000000000057,0,0.0250000000000057,0,ok,rank1_refocus_consensus_gate,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,1.84605060382356e-07,0.823533277968481,0.0505163977090305,[-0.1 0.1],refocus_sharpness_below_proxy_gate,1,1.84605060382356e-07,0.823533277968481,1.84605060382356e-07,[-0.1 0.1],ok,0.0250000000000057,0.0250000000000057,1,1,1,1,1,1,0,0,common_el_refocus_power_rank1,medium,rank1_refocus_consensus_gate,0.0343008
28,10,916711,current_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],no_reliable_observable_route,0,1,0,0,0,1,0,0,NaN,NaN,NaN,NaN,ok,current_common_el_proxy,0,0,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,1.93775347064928e-07,0.944460873975612,0.0504083334893402,[-0.08 0.08],refocus_sharpness_below_proxy_gate,1,1.93775347064928e-07,0.944460873975612,1.93775347064928e-07,[-0.08 0.08],ok,0.00499999999999545,0.00499999999999545,1,1,1,1,1,1,1,1,low_confidence,low,no_reliable_observable_route,0.2015502
29,10,916711,rank1_reliable_without_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.08 0.08],[0 0],rank1_without_common_el_proxy,1,1,0,0,0,0,0,0,0.00499999999999545,0,0.00499999999999545,0,ok,rank1_reliable_without_common_el_proxy,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,1.93775347064928e-07,0.944460873975612,0.0504083334893402,[-0.08 0.08],refocus_sharpness_below_proxy_gate,1,1.93775347064928e-07,0.944460873975612,1.93775347064928e-07,[-0.08 0.08],ok,0.00499999999999545,0.00499999999999545,1,1,1,1,1,1,0,0,level2_rank1_fallback,medium,rank1_without_common_el_proxy,0.0359833
30,10,916711,rank1_refocus_consensus_gate,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],common_el_rank1_refocus,success,medium,[-0.08 0.08],[0 0],rank1_refocus_consensus_gate,1,1,0,0,0,0,0,0,0.00499999999999545,0,0.00499999999999545,0,ok,rank1_refocus_consensus_gate,0,1,1,1,0,0.12,0,0,1,NaN,0,0,peak_count_lt_2,1,1.93775347064928e-07,0.944460873975612,0.0504083334893402,[-0.08 0.08],refocus_sharpness_below_proxy_gate,1,1.93775347064928e-07,0.944460873975612,1.93775347064928e-07,[-0.08 0.08],ok,0.00499999999999545,0.00499999999999545,1,1,1,1,1,1,0,0,common_el_refocus_power_rank1,medium,rank1_refocus_consensus_gate,0.0393271
31,11,916712,current_common_el_proxy,step87_reference,close_coherent_pair,8,2,0.15,1,1,0,single_peak_in_scope,0,[-0.075 0.075],[0 0],boundary_unreliable,rejected,low,[],[],boundary_unreliable,0,1,0,0,0,1,1,0,NaN,NaN,NaN,NaN,ok,current_common_el_proxy,0,0,0,0,0,0.12,1,1,1,NaN,0,0,peak_count_lt_2,1,2.81730967512903e-07,0.339225391053425,0.0499214205951454,[-0.14 0.14],refocus_sharpness_below_proxy_gate,1,2.81730967512903e-07,0.339225391053425,2.81730967512903e-07,[-0.14 0.14],ok,0.0649999999999977,0.0649999999999977,0,1,1,0,1,1,1,1,boundary_unreliable,low,boundary_unreliable,0.2149905
