gate_mode,scenario_name,az_sep_deg,SNR_dB,trials,success_rate,safe_rate,false_high_rate,false_split_rate,boundary_missed_rate,low_confidence_rate,boundary_unreliable_rate,out_of_scope_reject_rate,common_el_proxy_pass_rate,selected_gate_pass_rate,rank1_without_common_el_gate_pass_rate,rank1_refocus_consensus_gate_pass_rate,rank1_route_reliable_rate,refocus_route_reliable_rate,truth_rank1_top3_rate,truth_refocus_top3_rate,mean_az_error_success,mean_el_error_success,median_runtime_sec,route_distribution,confidence_distribution
rank1_reliable_without_common_el_proxy,close_coherent_pair,0.15,16,60,0.8,1,0,0,0,0.2,0,0,0,0.8,0.8,0.8,0.8,0.8,1,1,0.0283333333333324,0,0.03755155,common_el_rank1_refocus:48;low_confidence:12,medium:48;low:12
rank1_reliable_without_common_el_proxy,close_coherent_pair,0.25,16,60,0.783333333333333,1,0,0,0,0.216666666666667,0,0,0,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,1,1,0.0232978723404195,0,0.037139,common_el_rank1_refocus:47;low_confidence:13,medium:47;low:13
rank1_reliable_without_common_el_proxy,close_coherent_pair,0.4,16,60,0.9,1,0,0,0,0.1,0,0,0,0.9,0.9,0.9,0.9,0.9,1,1,0.0137037037037086,0,0.03685115,common_el_rank1_refocus:54;low_confidence:6,medium:54;low:6
rank1_reliable_without_common_el_proxy,close_coherent_pair,0.6,16,60,0.983333333333333,1,0,0,0,0.0166666666666667,0,0,0,0.983333333333333,0.983333333333333,0.983333333333333,0.983333333333333,0.983333333333333,1,1,0.0145762711864448,0,0.0365741,common_el_rank1_refocus:59;low_confidence:1,medium:59;low:1
rank1_reliable_without_common_el_proxy,close_coherent_pair,0.8,16,60,0.95,1,0,0,0,0.05,0,0,0,0.95,0.95,0.95,0.95,0.95,1,1,0.0217543859649104,0,0.03688715,common_el_rank1_refocus:57;low_confidence:3,medium:57;low:3
rank1_reliable_without_common_el_proxy,medium_beta_pair,0.25,8,90,0.733333333333333,1,0,0,0,0.266666666666667,0.188888888888889,0,0,0.733333333333333,0.733333333333333,0.733333333333333,0.922222222222222,0.922222222222222,0.444444444444444,0.411111111111111,0.0503030303030263,0,0.03786125,common_el_rank1_refocus:66;boundary_unreliable:17;low_confidence:7,medium:66;low:24
rank1_reliable_without_common_el_proxy,medium_beta_pair,0.4,8,90,0.633333333333333,1,0,0,0,0.366666666666667,0.311111111111111,0,0,0.633333333333333,0.633333333333333,0.633333333333333,0.922222222222222,0.922222222222222,0.333333333333333,0.333333333333333,0.0649122807017557,0,0.0387783,common_el_rank1_refocus:57;boundary_unreliable:28;low_confidence:5,medium:57;low:33
rank1_reliable_without_common_el_proxy,medium_beta_pair,0.6,8,90,0.844444444444444,1,0,0,0,0.155555555555556,0.144444444444444,0,0,0.844444444444444,0.844444444444444,0.844444444444444,0.988888888888889,0.988888888888889,0.322222222222222,0.266666666666667,0.100394736842107,0,0.0369503,common_el_rank1_refocus:76;boundary_unreliable:13;low_confidence:1,medium:76;low:14
rank1_reliable_without_common_el_proxy,medium_beta_pair,0.25,16,90,0.911111111111111,1,0,0,0,0.0888888888888889,0,0,0,0.911111111111111,0.911111111111111,0.911111111111111,0.911111111111111,0.911111111111111,0.477777777777778,0.511111111111111,0.0442073170731661,0,0.0340088,low_confidence:8;common_el_rank1_refocus:82,low:8;medium:82
rank1_reliable_without_common_el_proxy,medium_beta_pair,0.4,16,90,0.888888888888889,1,0,0,0,0.111111111111111,0,0,0,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.322222222222222,0.333333333333333,0.0682500000000001,0,0.0341184,common_el_rank1_refocus:80;low_confidence:10,medium:80;low:10
