route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,lambda2_over_noise_array,lambda2_over_noise_beam,root_dist_array,root_dist_beam,mean_outer_iter,init_failed_rate,guard_applied_rate,mean_final_residual_power
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,14,1,0,0,0.005000,0.000000,0.000000,0.096177,1,1.005000,24.000000,24.000000,1.367338,1.431674,0.012608,0.011836,4.475000,0.000000,0.160000,1.464005e-01
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,16,0,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,24.000000,24.000000,1.662907,1.743560,0.008583,0.008107,3.985000,0.000000,0.150000,9.241668e-02
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,18,9,8,7,0.045000,0.040000,0.035000,0.055578,9,1.045000,24.000000,24.000000,2.128929,2.230174,0.006000,0.005675,3.460000,0.000000,0.045000,5.831250e-02
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,20,61,61,48,0.305000,0.305000,0.240000,0.046448,61,1.305000,24.000000,24.000000,2.876340,3.013286,0.004516,0.004311,2.335000,0.000000,0.010000,3.679374e-02
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,22,148,148,137,0.740000,0.740000,0.685000,0.037722,148,1.740000,24.000000,24.000000,4.076493,4.272354,0.003234,0.003080,1.705000,0.000000,0.000000,2.318664e-02
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,24,192,192,190,0.960000,0.960000,0.950000,0.031660,192,1.960000,24.000000,24.000000,5.952674,6.238498,0.002541,0.002430,1.300000,0.000000,0.000000,1.463894e-02
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,26,200,200,200,1.000000,1.000000,1.000000,0.022743,200,2.000000,24.000000,24.000000,8.904393,9.338428,0.001958,0.001873,1.000000,0.000000,0.000000,9.241542e-03
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,28,200,200,200,1.000000,1.000000,1.000000,0.016651,200,2.000000,24.000000,24.000000,13.612047,14.276072,0.001570,0.001507,1.000000,0.000000,0.000000,5.826468e-03
proto6_array_root_music,7,0.400000,12.800000,13.200000,14,200,198,198,1.000000,0.990000,0.990000,0.046660,200,2.000000,14.000000,14.000000,3.023100,3.171257,0.004268,0.004066,4.185000,0.000000,0.000000,1.386448e-01
proto6_array_root_music,7,0.400000,12.800000,13.200000,16,200,200,200,1.000000,1.000000,1.000000,0.033058,200,2.000000,14.000000,14.000000,4.318398,4.527073,0.003177,0.003026,3.550000,0.000000,0.000000,8.733366e-02
proto6_array_root_music,7,0.400000,12.800000,13.200000,18,200,200,200,1.000000,1.000000,1.000000,0.026639,200,2.000000,14.000000,14.000000,6.347865,6.656608,0.002427,0.002321,2.745000,0.000000,0.000000,5.515926e-02
proto6_array_root_music,7,0.400000,12.800000,13.200000,20,200,200,200,1.000000,1.000000,1.000000,0.019256,200,2.000000,14.000000,14.000000,9.599292,10.064481,0.001909,0.001829,1.835000,0.000000,0.000000,3.478032e-02
proto6_array_root_music,7,0.400000,12.800000,13.200000,22,200,200,200,1.000000,1.000000,1.000000,0.014925,200,2.000000,14.000000,14.000000,14.689307,15.395916,0.001438,0.001376,1.280000,0.000000,0.000000,2.196835e-02
proto6_array_root_music,7,0.400000,12.800000,13.200000,24,200,200,200,1.000000,1.000000,1.000000,0.012404,200,2.000000,14.000000,14.000000,22.774676,23.890662,0.001179,0.001132,1.065000,0.000000,0.000000,1.385658e-02
proto6_array_root_music,7,0.400000,12.800000,13.200000,26,200,200,200,1.000000,1.000000,1.000000,0.009367,200,2.000000,14.000000,14.000000,35.591054,37.337826,0.000935,0.000898,1.025000,0.000000,0.000000,8.745676e-03
proto6_array_root_music,7,0.400000,12.800000,13.200000,28,200,200,200,1.000000,1.000000,1.000000,0.007485,200,2.000000,14.000000,14.000000,56.036505,58.773759,0.000738,0.000710,1.000000,0.000000,0.000000,5.513847e-03
proto6_array_root_music,8,0.350000,12.825000,13.175000,14,200,121,98,1.000000,0.605000,0.490000,0.085451,200,2.000000,16.000000,18.000000,2.117137,2.220259,0.006061,0.005755,4.690000,0.000000,0.005000,1.421075e-01
proto6_array_root_music,8,0.350000,12.825000,13.175000,16,200,187,171,1.000000,0.935000,0.855000,0.053590,200,2.000000,16.000000,18.000000,2.838278,2.973603,0.004448,0.004231,3.830000,0.000000,0.000000,8.962504e-02
proto6_array_root_music,8,0.350000,12.825000,13.175000,18,200,198,196,1.000000,0.990000,0.980000,0.036115,200,2.000000,16.000000,18.000000,4.013533,4.206629,0.003365,0.003223,2.930000,0.000000,0.000000,5.654481e-02
proto6_array_root_music,8,0.350000,12.825000,13.175000,20,200,200,199,1.000000,1.000000,0.995000,0.026156,200,2.000000,16.000000,18.000000,5.890001,6.177992,0.002524,0.002413,2.125000,0.000000,0.000000,3.567385e-02
proto6_array_root_music,8,0.350000,12.825000,13.175000,22,200,200,200,1.000000,1.000000,1.000000,0.019694,200,2.000000,16.000000,18.000000,8.848403,9.273388,0.002006,0.001923,1.500000,0.000000,0.000000,2.251369e-02
proto6_array_root_music,8,0.350000,12.825000,13.175000,24,200,200,200,1.000000,1.000000,1.000000,0.016168,200,2.000000,16.000000,18.000000,13.523446,14.167943,0.001577,0.001513,1.305000,0.000000,0.000000,1.420577e-02
proto6_array_root_music,8,0.350000,12.825000,13.175000,26,200,200,200,1.000000,1.000000,1.000000,0.013529,200,2.000000,16.000000,18.000000,20.912273,21.915454,0.001227,0.001176,1.000000,0.000000,0.000000,8.963899e-03
proto6_array_root_music,8,0.350000,12.825000,13.175000,28,200,200,200,1.000000,1.000000,1.000000,0.009624,200,2.000000,16.000000,18.000000,32.582813,34.134160,0.000945,0.000907,1.025000,0.000000,0.000000,5.662796e-03
proto6_array_root_music,9,0.311111,12.844444,13.155556,14,200,20,8,1.000000,0.100000,0.040000,0.121566,200,2.000000,20.000000,20.000000,1.636652,1.714812,0.009022,0.008565,4.305000,0.000000,0.115000,1.445371e-01
proto6_array_root_music,9,0.311111,12.844444,13.155556,16,200,106,61,1.000000,0.530000,0.305000,0.084104,200,2.000000,20.000000,20.000000,2.099700,2.200746,0.006354,0.006063,4.060000,0.000000,0.045000,9.124985e-02
proto6_array_root_music,9,0.311111,12.844444,13.155556,18,200,178,143,1.000000,0.890000,0.715000,0.056701,200,2.000000,20.000000,20.000000,2.812181,2.946617,0.004503,0.004285,3.295000,0.000000,0.000000,5.750827e-02
proto6_array_root_music,9,0.311111,12.844444,13.155556,20,200,198,192,1.000000,0.990000,0.960000,0.037643,200,2.000000,20.000000,20.000000,3.964135,4.153508,0.003331,0.003173,2.310000,0.000000,0.000000,3.631040e-02
proto6_array_root_music,9,0.311111,12.844444,13.155556,22,200,200,200,1.000000,1.000000,1.000000,0.027176,200,2.000000,20.000000,20.000000,5.776849,6.060694,0.002608,0.002500,1.725000,0.000000,0.000000,2.290324e-02
proto6_array_root_music,9,0.311111,12.844444,13.155556,24,200,200,199,1.000000,1.000000,0.995000,0.021013,200,2.000000,20.000000,20.000000,8.645377,9.058150,0.001987,0.001899,1.115000,0.000000,0.000000,1.445786e-02
proto6_array_root_music,9,0.311111,12.844444,13.155556,26,200,200,200,1.000000,1.000000,1.000000,0.015929,200,2.000000,20.000000,20.000000,13.250005,13.881385,0.001549,0.001484,1.015000,0.000000,0.000000,9.119472e-03
proto6_array_root_music,9,0.311111,12.844444,13.155556,28,200,200,200,1.000000,1.000000,1.000000,0.013516,200,2.000000,20.000000,20.000000,20.456781,21.442886,0.001221,0.001171,1.000000,0.000000,0.000000,5.756149e-03
proto6_array_root_music,10,0.280000,12.860000,13.140000,14,200,0,0,1.000000,0.000000,0.000000,0.152985,200,2.000000,22.000000,22.000000,1.367338,1.431674,0.012608,0.011836,4.475000,0.000000,0.160000,1.464005e-01
proto6_array_root_music,10,0.280000,12.860000,13.140000,16,200,29,2,1.000000,0.145000,0.010000,0.112694,200,2.000000,22.000000,22.000000,1.662907,1.743560,0.008583,0.008107,3.985000,0.000000,0.150000,9.241668e-02
proto6_array_root_music,10,0.280000,12.860000,13.140000,18,200,112,40,1.000000,0.560000,0.200000,0.084409,200,2.000000,22.000000,22.000000,2.128929,2.230174,0.006000,0.005675,3.460000,0.000000,0.045000,5.831250e-02
proto6_array_root_music,10,0.280000,12.860000,13.140000,20,200,175,118,1.000000,0.875000,0.590000,0.057730,200,2.000000,22.000000,22.000000,2.876340,3.013286,0.004516,0.004311,2.335000,0.000000,0.010000,3.679374e-02
proto6_array_root_music,10,0.280000,12.860000,13.140000,22,200,200,188,1.000000,1.000000,0.940000,0.035152,200,2.000000,22.000000,22.000000,4.076493,4.272354,0.003234,0.003080,1.705000,0.000000,0.000000,2.318664e-02
proto6_array_root_music,10,0.280000,12.860000,13.140000,24,200,200,199,1.000000,1.000000,0.995000,0.027468,200,2.000000,22.000000,22.000000,5.952674,6.238498,0.002541,0.002430,1.300000,0.000000,0.000000,1.463894e-02
proto6_array_root_music,10,0.280000,12.860000,13.140000,26,200,200,200,1.000000,1.000000,1.000000,0.019623,200,2.000000,22.000000,22.000000,8.904393,9.338428,0.001958,0.001873,1.000000,0.000000,0.000000,9.241542e-03
