route_name,K_phi,P_phi,center_window_size,sigma_phi,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks,degraded_rate,oracle_best_subarray_tol_rate,center_window_two_peak_rate,best_route_minus_center_real,best_route_minus_min_den
min_den_forward,24,42,0,NaN,7,0.376822064,28,1.000000000,1.000000000,0.990000000,0.067844066,2.000000000,0.000000000,1.000000000,0.278333333,0.000000000,0.000000000
min_den_forward,24,42,0,NaN,7,0.376822064,30,1.000000000,1.000000000,1.000000000,0.066629094,2.000000000,0.000000000,1.000000000,0.286904762,0.000000000,0.000000000
min_den_forward,24,42,0,NaN,10,0.263775445,24,0.150000000,0.130000000,0.070000000,0.094449005,1.150000000,0.850000000,0.140000000,0.019761905,0.000000000,0.000000000
min_den_forward,24,42,0,NaN,10,0.263775445,28,0.220000000,0.220000000,0.150000000,0.057005704,1.220000000,0.780000000,0.220000000,0.027380952,0.000000000,0.000000000
min_den_forward,24,42,0,NaN,10,0.263775445,30,0.260000000,0.250000000,0.100000000,0.068523077,1.260000000,0.740000000,0.250000000,0.028095238,0.000000000,0.000000000
min_den_forward,28,38,0,NaN,7,0.376822064,24,0.760000000,0.680000000,0.650000000,0.080714668,1.760000000,0.240000000,0.680000000,0.168157895,0.000000000,0.000000000
min_den_forward,28,38,0,NaN,7,0.376822064,28,0.970000000,0.950000000,0.880000000,0.078555489,1.970000000,0.030000000,0.950000000,0.245526316,0.000000000,0.000000000
min_den_forward,28,38,0,NaN,7,0.376822064,30,1.000000000,0.990000000,0.990000000,0.078587340,2.000000000,0.000000000,0.990000000,0.263684211,0.000000000,0.000000000
min_den_forward,28,38,0,NaN,10,0.263775445,24,0.110000000,0.110000000,0.060000000,0.064499068,1.110000000,0.890000000,0.110000000,0.015789474,0.000000000,0.000000000
min_den_forward,28,38,0,NaN,10,0.263775445,28,0.050000000,0.050000000,0.010000000,0.077111276,1.050000000,0.950000000,0.050000000,0.006315789,0.000000000,0.000000000
