rank,candidate_index,candidate_id,score,score_source
1,4717,p_+6.960000_+9.880000__+8.080000_+10.600000__sep_+0.720000,209423.28437364,fixed
2,5560,p_+6.800000_+10.120000__+8.080000_+10.840000__sep_+0.720000,209388.557774985,fixed
3,4705,p_+6.800000_+9.880000__+8.080000_+10.600000__sep_+0.720000,209374.752017217,fixed
4,4718,p_+6.960000_+9.880000__+8.240000_+10.600000__sep_+0.720000,208888.205157988,fixed
5,4363,p_+6.800000_+10.060000__+8.080000_+10.420000__sep_+0.360000,208551.774069939,fixed
6,5561,p_+6.800000_+10.120000__+8.240000_+10.840000__sep_+0.720000,207699.362147238,fixed
7,5572,p_+6.960000_+10.120000__+8.080000_+10.840000__sep_+0.720000,207656.896335367,fixed
8,4706,p_+6.800000_+9.880000__+8.240000_+10.600000__sep_+0.720000,207472.55326961,fixed
9,4364,p_+6.800000_+10.060000__+8.240000_+10.420000__sep_+0.360000,207267.738736637,fixed
10,5573,p_+6.960000_+10.120000__+8.240000_+10.840000__sep_+0.720000,207263.894095233,fixed
