rank,candidate_index,candidate_id,score
1,5420,p_+14.780000_+10.660000__+15.260000_+10.300000__sep_+0.360000,45398.2805483106
2,4556,p_+14.620000_+10.420000__+15.420000_+10.060000__sep_+0.360000,45397.7278556673
3,4555,p_+14.620000_+10.420000__+15.260000_+10.060000__sep_+0.360000,45319.1300701796
4,4565,p_+14.780000_+10.420000__+15.260000_+10.060000__sep_+0.360000,45218.2732489457
5,5421,p_+14.780000_+10.660000__+15.420000_+10.300000__sep_+0.360000,45128.6075629896
6,5753,p_+14.620000_+10.840000__+15.420000_+10.120000__sep_+0.720000,45114.2208948046
7,5411,p_+14.620000_+10.660000__+15.420000_+10.300000__sep_+0.360000,45112.3021961831
8,4231,p_+14.940000_+10.240000__+15.100000_+10.240000__sep_+0.000000,45097.4887738381
9,4566,p_+14.780000_+10.420000__+15.420000_+10.060000__sep_+0.360000,45091.7897352511
10,4223,p_+14.780000_+10.240000__+15.260000_+10.240000__sep_+0.000000,45072.1723805368
