object,row,col,real_value,imag_value
Rz,1,1,25658.5373560923,0
Rz,2,1,-2573.9847745116,19719.0463606852
Rz,3,1,4748.25387970001,2212.25249347779
Rz,4,1,2950.36840277572,-4906.55878072405
Rz,5,1,1708.4235554645,-3385.01484148727
Rz,6,1,-2815.81153095757,425.568109154217
Rz,7,1,-2931.47152945862,-1750.79623045022
Rz,1,2,-2573.9847745116,-19719.0463606852
Rz,2,2,16215.933707807,0
Rz,3,2,1285.22596699995,-4061.14545817092
Rz,4,2,-4161.61577183987,-1761.99426431457
Rz,5,2,-2831.05015557165,-1150.8434431551
Rz,6,2,512.742095806426,2191.80178208282
Rz,7,2,-1164.43035012735,2541.7395756594
Rz,1,3,4748.25387970001,-2212.25249347779
Rz,2,3,1285.22596699995,4061.14545817092
Rz,3,3,1119.31092987799,0
Rz,4,3,112.579850972674,-1183.81968000063
Rz,5,3,61.8476494774621,-801.049410188085
Rz,6,3,-508.45986488316,304.038395551916
Rz,7,3,-728.854055558187,-89.3151021138425
Rz,1,4,2950.36840277572,4906.55878072405
Rz,2,4,-4161.61577183987,1761.99426431457
Rz,3,4,112.579850972674,1183.81968000063
Rz,4,4,1289.10444472188,0
Rz,5,4,847.682904942457,-40.6139015708082
Rz,6,4,-392.576578626823,-496.264682960972
Rz,7,4,12.9384548610121,-773.38313968741
Rz,1,5,1708.4235554645,3385.01484148727
Rz,2,5,-2831.05015557165,1150.8434431551
Rz,3,5,61.8476494774621,801.049410188085
Rz,4,5,847.682904942457,40.6139015708082
Rz,5,5,603.953614472001,0
Rz,6,5,-252.171402862038,-369.672760660095
Rz,7,5,18.9580480445752,-536.505418694181
Rz,1,6,-2815.81153095757,-425.568109154217
Rz,2,6,512.742095806426,-2191.80178208282
Rz,3,6,-508.45986488316,-304.038395551916
Rz,4,6,-392.576578626823,496.264682960972
Rz,5,6,-252.171402862038,369.672760660095
Rz,6,6,334.108832842367,0
Rz,7,6,316.248871155973,237.012305393675
Rz,1,7,-2931.47152945862,1750.79623045022
Rz,2,7,-1164.43035012735,-2541.7395756594
Rz,3,7,-728.854055558187,89.3151021138425
Rz,4,7,12.9384548610121,773.38313968741
Rz,5,7,18.9580480445752,536.505418694181
Rz,6,7,316.248871155973,-237.012305393675
Rz,7,7,486.42472804658,0
