case_name,case_0002
case_role,worst_score_gap_rel_error_case
quant_mode,mixed_Z16_G24_Rz24
trial_index,1174
scenario_name,low_margin_score_gap
metric_name,score_gap_rel_error
metric_value,0.0208115745264
score_core_only_flag,1
full_fpga_backend_validation_flag,0
golden_vector_limit,256
