candidate_index,az1,az2,el1,el2,el_center,el_sep,orientation,iAz1,iAz2,iEl1,iEl2,candidate_id
5420,14.78,15.26,10.66,10.3,10.48,0.36,-1,9,12,31,25,p_+14.780000_+10.660000__+15.260000_+10.300000__sep_+0.360000
4556,14.62,15.42,10.42,10.06,10.24,0.36,-1,8,13,27,21,p_+14.620000_+10.420000__+15.420000_+10.060000__sep_+0.360000
4555,14.62,15.26,10.42,10.06,10.24,0.36,-1,8,12,27,21,p_+14.620000_+10.420000__+15.260000_+10.060000__sep_+0.360000
4565,14.78,15.26,10.42,10.06,10.24,0.36,-1,9,12,27,21,p_+14.780000_+10.420000__+15.260000_+10.060000__sep_+0.360000
5421,14.78,15.42,10.66,10.3,10.48,0.36,-1,9,13,31,25,p_+14.780000_+10.660000__+15.420000_+10.300000__sep_+0.360000
5753,14.62,15.42,10.84,10.12,10.48,0.72,-1,8,13,34,22,p_+14.620000_+10.840000__+15.420000_+10.120000__sep_+0.720000
5411,14.62,15.42,10.66,10.3,10.48,0.36,-1,8,13,31,25,p_+14.620000_+10.660000__+15.420000_+10.300000__sep_+0.360000
4231,14.94,15.1,10.24,10.24,10.24,0,1,10,11,24,24,p_+14.940000_+10.240000__+15.100000_+10.240000__sep_+0.000000
4566,14.78,15.42,10.42,10.06,10.24,0.36,-1,9,13,27,21,p_+14.780000_+10.420000__+15.420000_+10.060000__sep_+0.360000
4223,14.78,15.26,10.24,10.24,10.24,0,1,9,12,24,24,p_+14.780000_+10.240000__+15.260000_+10.240000__sep_+0.000000
5410,14.62,15.26,10.66,10.3,10.48,0.36,-1,8,12,31,25,p_+14.620000_+10.660000__+15.260000_+10.300000__sep_+0.360000
4222,14.78,15.1,10.24,10.24,10.24,0,1,9,11,24,24,p_+14.780000_+10.240000__+15.100000_+10.240000__sep_+0.000000
5419,14.78,15.1,10.66,10.3,10.48,0.36,-1,9,11,31,25,p_+14.780000_+10.660000__+15.100000_+10.300000__sep_+0.360000
4214,14.62,15.42,10.24,10.24,10.24,0,1,8,13,24,24,p_+14.620000_+10.240000__+15.420000_+10.240000__sep_+0.000000
4557,14.62,15.58,10.42,10.06,10.24,0.36,-1,8,14,27,21,p_+14.620000_+10.420000__+15.580000_+10.060000__sep_+0.360000
4232,14.94,15.26,10.24,10.24,10.24,0,1,10,12,24,24,p_+14.940000_+10.240000__+15.260000_+10.240000__sep_+0.000000
4213,14.62,15.26,10.24,10.24,10.24,0,1,8,12,24,24,p_+14.620000_+10.240000__+15.260000_+10.240000__sep_+0.000000
5754,14.62,15.58,10.84,10.12,10.48,0.72,-1,8,14,34,22,p_+14.620000_+10.840000__+15.580000_+10.120000__sep_+0.720000
5752,14.62,15.26,10.84,10.12,10.48,0.72,-1,8,12,34,22,p_+14.620000_+10.840000__+15.260000_+10.120000__sep_+0.720000
4224,14.78,15.42,10.24,10.24,10.24,0,1,9,13,24,24,p_+14.780000_+10.240000__+15.420000_+10.240000__sep_+0.000000
4554,14.62,15.1,10.42,10.06,10.24,0.36,-1,8,11,27,21,p_+14.620000_+10.420000__+15.100000_+10.060000__sep_+0.360000
5086,14.94,15.1,10.48,10.48,10.48,0,1,10,11,28,28,p_+14.940000_+10.480000__+15.100000_+10.480000__sep_+0.000000
5078,14.78,15.26,10.48,10.48,10.48,0,1,9,12,28,28,p_+14.780000_+10.480000__+15.260000_+10.480000__sep_+0.000000
