rank,candidate_index,candidate_id,score,score_source
1,4385,p_+3.370000_+10.060000__+4.170000_+10.420000__sep_+0.360000,161985.423929817,fixed
2,4384,p_+3.370000_+10.060000__+4.010000_+10.420000__sep_+0.360000,161518.040584668,fixed
3,5582,p_+3.370000_+10.120000__+4.170000_+10.840000__sep_+0.720000,161470.807909811,fixed
4,4386,p_+3.370000_+10.060000__+4.330000_+10.420000__sep_+0.360000,161465.845196223,fixed
5,5240,p_+3.370000_+10.300000__+4.170000_+10.660000__sep_+0.360000,161172.407858887,fixed
6,5581,p_+3.370000_+10.120000__+4.010000_+10.840000__sep_+0.720000,160978.823408585,fixed
7,5583,p_+3.370000_+10.120000__+4.330000_+10.840000__sep_+0.720000,160960.304955932,fixed
8,4214,p_+3.370000_+10.240000__+4.170000_+10.240000__sep_+0.000000,160914.501233626,fixed
9,5241,p_+3.370000_+10.300000__+4.330000_+10.660000__sep_+0.360000,160831.023370419,fixed
10,4374,p_+3.210000_+10.060000__+4.170000_+10.420000__sep_+0.360000,160738.064213934,fixed
