object_name,bits,scale,clip_rate,overflow_rate,relative_error,max_abs
W,NaN,NaN,0,0,0,NaN
G_cache,24,4.81111649577584e-06,0,0,1.20552980091729e-07,40.3585655142807
Z,16,0.00143530019258883,0,0,3.10692865717892e-05,47.0304814105581
Rz,24,0.0151928598161531,0,0,2.64704441808288e-07,127446.930203801
score,24,0.0193101696062072,0,0,5.54173894583654e-08,161985.423929817
