candidate_index,az1,az2,el1,el2,el_center,el_sep,orientation,iAz1,iAz2,iEl1,iEl2,candidate_id
4385,3.37,4.17,10.06,10.42,10.24,0.36,1,8,13,21,27,p_+3.370000_+10.060000__+4.170000_+10.420000__sep_+0.360000
4384,3.37,4.01,10.06,10.42,10.24,0.36,1,8,12,21,27,p_+3.370000_+10.060000__+4.010000_+10.420000__sep_+0.360000
5582,3.37,4.17,10.12,10.84,10.48,0.72,1,8,13,22,34,p_+3.370000_+10.120000__+4.170000_+10.840000__sep_+0.720000
4386,3.37,4.33,10.06,10.42,10.24,0.36,1,8,14,21,27,p_+3.370000_+10.060000__+4.330000_+10.420000__sep_+0.360000
5240,3.37,4.17,10.3,10.66,10.48,0.36,1,8,13,25,31,p_+3.370000_+10.300000__+4.170000_+10.660000__sep_+0.360000
5581,3.37,4.01,10.12,10.84,10.48,0.72,1,8,12,22,34,p_+3.370000_+10.120000__+4.010000_+10.840000__sep_+0.720000
5583,3.37,4.33,10.12,10.84,10.48,0.72,1,8,14,22,34,p_+3.370000_+10.120000__+4.330000_+10.840000__sep_+0.720000
4214,3.37,4.17,10.24,10.24,10.24,0,1,8,13,24,24,p_+3.370000_+10.240000__+4.170000_+10.240000__sep_+0.000000
5241,3.37,4.33,10.3,10.66,10.48,0.36,1,8,14,25,31,p_+3.370000_+10.300000__+4.330000_+10.660000__sep_+0.360000
4374,3.21,4.17,10.06,10.42,10.24,0.36,1,7,13,21,27,p_+3.210000_+10.060000__+4.170000_+10.420000__sep_+0.360000
4373,3.21,4.01,10.06,10.42,10.24,0.36,1,7,12,21,27,p_+3.210000_+10.060000__+4.010000_+10.420000__sep_+0.360000
4215,3.37,4.33,10.24,10.24,10.24,0,1,8,14,24,24,p_+3.370000_+10.240000__+4.330000_+10.240000__sep_+0.000000
5239,3.37,4.01,10.3,10.66,10.48,0.36,1,8,12,25,31,p_+3.370000_+10.300000__+4.010000_+10.660000__sep_+0.360000
5229,3.21,4.17,10.3,10.66,10.48,0.36,1,7,13,25,31,p_+3.210000_+10.300000__+4.170000_+10.660000__sep_+0.360000
4213,3.37,4.01,10.24,10.24,10.24,0,1,8,12,24,24,p_+3.370000_+10.240000__+4.010000_+10.240000__sep_+0.000000
4203,3.21,4.17,10.24,10.24,10.24,0,1,7,13,24,24,p_+3.210000_+10.240000__+4.170000_+10.240000__sep_+0.000000
5228,3.21,4.01,10.3,10.66,10.48,0.36,1,7,12,25,31,p_+3.210000_+10.300000__+4.010000_+10.660000__sep_+0.360000
4202,3.21,4.01,10.24,10.24,10.24,0,1,7,12,24,24,p_+3.210000_+10.240000__+4.010000_+10.240000__sep_+0.000000
4383,3.37,3.85,10.06,10.42,10.24,0.36,1,8,11,21,27,p_+3.370000_+10.060000__+3.850000_+10.420000__sep_+0.360000
4387,3.37,4.49,10.06,10.42,10.24,0.36,1,8,15,21,27,p_+3.370000_+10.060000__+4.490000_+10.420000__sep_+0.360000
5570,3.21,4.01,10.12,10.84,10.48,0.72,1,7,12,22,34,p_+3.210000_+10.120000__+4.010000_+10.840000__sep_+0.720000
4727,3.37,4.17,9.88,10.6,10.24,0.72,1,8,13,18,30,p_+3.370000_+9.880000__+4.170000_+10.600000__sep_+0.720000
