requested_center_az,actual_center_az,selected_center_column,delta_az,el,max_abs_a_error,rel_a_error,max_abs_G_error,rel_G_error,phase_aligned_rel_a_error,phase_aligned_rel_G_error,cache_miss_count,pass_flag
0,0,1,-1.5,11.39,0,0,2.70566612878437e-14,9.96624267690404e-16,0,5.87405296362279e-16,0,1
0,0,1,-1.5,11.45,0,0,5.43460691232353e-14,1.63312972814664e-15,0,3.9460225462145e-16,0,1
0,0,1,-1.5,11.51,0,0,3.62307127488235e-14,1.11194730403682e-15,0,3.77350375145189e-16,0,1
0,0,1,-1.5,11.57,0,0,1.43905633514522e-14,6.02629272934876e-16,0,5.09867559759053e-16,0,1
0,0,1,-1.5,11.63,0,0,2.75764738977458e-14,9.18407466291119e-16,0,2.95547476194912e-16,0,1
0,0,1,-1.5,11.69,0,0,2.77475808584407e-14,1.00021089372711e-15,0,4.24016144769132e-16,0,1
0,0,1,-1.5,11.75,0,0,4.8068426138083e-14,1.69006354928846e-15,0,3.68597100344128e-16,0,1
0,0,1,-1.5,11.81,0,0,5.69283568520489e-14,2.08195240946381e-15,0,4.24690282639443e-16,0,1
0,0,1,-1.5,11.87,0,0,5.85928550210846e-14,2.23611112215445e-15,0,2.36592451819441e-16,0,1
0,0,1,-1.42,8.75,0,0,6.70324676268067e-14,1.89737850047068e-15,0,9.67009116336414e-16,0,1
0,0,1,-1.42,8.81,0,0,3.19744231092045e-14,1.06344202142769e-15,0,8.40368076977802e-16,0,1
0,0,1,-1.42,8.87,0,0,5.42298207139202e-14,1.58999923407455e-15,0,6.77689287374423e-16,0,1
0,0,1,-1.42,8.93,0,0,5.81875502595579e-14,1.52048912704351e-15,0,7.2388697823639e-16,0,1
0,0,1,-1.42,8.99,0,0,1.59872115546023e-14,5.96615152654159e-16,0,5.80467370446106e-16,0,1
0,0,1,-1.42,9.05,0,0,2.95644699425659e-14,1.05638481250063e-15,0,1.05619277495506e-15,0,1
0,0,1,-1.42,9.11,0,0,1.70532569531373e-13,4.11036144692337e-15,0,1.82239915558662e-15,0,1
0,0,1,-1.42,9.17,0,0,1.42164741082269e-13,3.56229951571073e-15,0,1.79159030867616e-15,0,1
0,0,1,-1.42,9.23,0,0,2.86979230093527e-14,1.0155624409761e-15,0,6.03264901822651e-16,0,1
0,0,1,-1.42,9.29,0,0,5.67600910580895e-14,1.62122246659096e-15,0,1.47134412228325e-15,0,1
0,0,1,-1.42,9.35,0,0,3.57043305893999e-14,1.12476260071577e-15,0,5.22811721276835e-16,0,1
0,0,1,-1.42,9.41,0,0,5.43750923931937e-14,1.4666812762675e-15,0,9.98820290531327e-16,0,1
0,0,1,-1.42,9.47,0,0,9.24772462473931e-14,2.25152131876852e-15,0,2.10256220654135e-15,0,1
0,0,1,-1.42,9.53,0,0,1.35189975412974e-13,3.10489780486831e-15,0,1.59089865091165e-15,0,1
0,0,1,-1.42,9.59,0,0,3.22813453219806e-14,1.10155418907982e-15,0,1.04765160287018e-15,0,1
0,0,1,-1.42,9.65,0,0,7.13257595667253e-14,1.77392017759124e-15,0,1.64539536385098e-15,0,1
0,0,1,-1.42,9.71,0,0,6.1123197291427e-14,1.89898940614796e-15,0,1.51095353375395e-15,0,1
0,0,1,-1.42,9.77,0,0,1.20844499574666e-13,3.32161104351447e-15,0,1.50371655500634e-15,0,1
0,0,1,-1.42,9.83,0,0,6.608429443751e-14,1.67169653891492e-15,0,1.34567256358559e-15,0,1
0,0,1,-1.42,9.89,0,0,4.55315984665685e-14,1.53605711622033e-15,0,1.58570220276198e-15,0,1
0,0,1,-1.42,9.95,0,0,3.9241005173051e-14,9.77823779766693e-16,0,6.63420912977468e-16,0,1
0,0,1,-1.42,10.01,0,0,6.69618203551563e-14,1.6332452197504e-15,0,1.15353072464598e-15,0,1
0,0,1,-1.42,10.07,0,0,4.05460987825042e-14,1.17505237398048e-15,0,1.13931788193056e-15,0,1
0,0,1,-1.42,10.13,0,0,5.51529477954916e-14,1.65540887264518e-15,0,1.33010817375954e-15,0,1
0,0,1,-1.42,10.19,0,0,8.59286801531867e-14,2.17334217158902e-15,0,7.76403977893577e-16,0,1
0,0,1,-1.42,10.25,0,0,4.76646557423476e-14,1.17525345725688e-15,0,7.67310983243958e-16,0,1
0,0,1,-1.42,10.31,0,0,3.35162338134033e-14,8.39950286719768e-16,0,6.43004025326353e-16,0,1
0,0,1,-1.42,10.37,0,0,3.57043305893999e-14,1.08252340508927e-15,0,3.41905927208633e-16,0,1
0,0,1,-1.42,10.43,0,0,5.61733354972272e-14,1.40889347837389e-15,0,9.23888512960565e-16,0,1
