keypoint,value
manifold_equivalence_pass_flag,1
phase_aligned_equivalence_flag,1
max_rel_a_error,3.81606715719e-14
max_rel_G_error,3.22673017304e-14
search_consistency_pass_flag,1
same_estimate_rate,1
same_policy_rate,1
max_relative_score_diff,8.30131334589e-16
cache_miss_count,0
runtime_manifold_pass_flag,1
runtime_search_pass_flag,1
median_manifold_time_reduction_ratio,0.997733509648
median_search_time_reduction_ratio,0.86040740001
cache_build_once_time_sec,0.9378621
cache_memory_MB,2.08154296875
cross_center_reuse_pass_flag,1
num_tested_centers,6
num_passed_centers,6
step11_6_overall_pass_flag,1
step11_6_recommendation,use_canonical_beamspace_manifold_cache_as_default_for_step11_5_c05_runtime_acceleration
