group,case_name,SNR,mc,full_route,lazy_route,full_success,lazy_success,route_agreement_full_vs_lazy,lazy_false_high_confidence,lazy_false_medium_high_confidence,lazy_boundary_missed,lazy_low_confidence,lazy_boundary_unreliable,full_runtime_sec,lazy_runtime_sec,runtime_speedup,runtime_reduction,full_t_level2_music,full_t_level2_rank1,full_t_refocus,full_t_2dmusic,full_t_pair_local,full_t_dispatch,lazy_t_level2_music,lazy_t_refocus,lazy_t_level2_rank1,lazy_t_2dmusic,lazy_t_pair_local,executed_level2_music,executed_refocus,executed_level2_rank1,executed_2dmusic,executed_pair_local,executed_stage_count,early_stop_stage,early_stop_flag,confidence_flag,failure_reason
rho_scan,rho_1,0,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.713746,0.1239392,5.75883981823346,0.826353913016675,0.0096725,0.0122581,0.1247383,0.5638605,0,0.0027376,0.0099739,0.1072954,0.0041435,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,2,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6799202,0.136646,4.9757782884241,0.79902641515872,0.0150449,0.0048734,0.1108038,0.5445428,0,0.0035978,0.0081762,0.1192244,0.0049517,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6878514,0.1172596,5.86605616938826,0.829527714852365,0.0078816,0.0044981,0.1078967,0.566534,0,0.0007455,0.0068216,0.1047376,0.0044236,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,4,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6733469,0.119708,5.62491145119791,0.822219423598742,0.0083348,0.0048735,0.0988695,0.5552893,0,0.0047326,0.0078315,0.1015798,0.0047072,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,5,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.656306,0.1112316,5.90035565432845,0.830518690976465,0.0074613,0.0047485,0.0968387,0.5465211,0,0.0005793,0.0071011,0.0987555,0.0046549,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,6,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.641442,0.1158575,5.53647368534622,0.819379616551458,0.0071519,0.003827,0.0966932,0.5333644,0,0.0002756,0.0072741,0.1043939,0.0038291,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,7,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6650253,0.092532,7.18697639735443,0.860859428957064,0.0076841,0.005219,0.1035662,0.5481873,0,0.0002336,0.006482,0.082395,0.0033642,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,8,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6119572,0.0921129,6.64355589716533,0.849478198802138,0.006455,0.0037366,0.0829902,0.5184863,0,0.0001889,0.0064346,0.0818539,0.0035742,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,9,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6052126,0.0926698,6.53085039570604,0.846880583781633,0.0067784,0.0039071,0.0797383,0.5142114,0,0.000401,0.0074043,0.0818765,0.0031256,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,10,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6055572,0.0887568,6.82265696825483,0.853429535640894,0.0065634,0.0037268,0.0826566,0.5123384,0,0.0001776,0.0066343,0.0782305,0.0036586,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,11,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.5996953,0.0907014,6.61175351207368,0.848754192337342,0.0064495,0.0031581,0.0816444,0.5080108,0,0.0002595,0.0063592,0.080722,0.0033293,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,12,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6075859,0.0913341,6.65234452411531,0.849677058009411,0.0065486,0.0038537,0.0789833,0.5177538,0,0.00029,0.0061769,0.081259,0.0036093,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,13,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6134037,0.0921555,6.65618112863584,0.849763703740294,0.0065654,0.003308,0.0796833,0.5235537,0,0.0001961,0.0063121,0.0817821,0.0038023,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_1,0,14,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6179787,0.0938214,6.58675632638183,0.848180204269176,0.006738,0.0039762,0.0828236,0.5241056,0,0.000219,0.0065675,0.0833488,0.0036433,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
