route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,lambda2_over_noise_array
baseline_routeB_centerT_grid_music,2,1.400000,12.300000,13.700000,22,200,200,200,1.000000,1.000000,1.000000,0.000500,200,2.000000,-4.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,2,1.400000,12.300000,13.700000,24,200,200,200,1.000000,1.000000,1.000000,0.000000,200,2.000000,-4.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,2,1.400000,12.300000,13.700000,26,200,200,200,1.000000,1.000000,1.000000,0.000000,200,2.000000,-4.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,2,1.400000,12.300000,13.700000,28,200,200,200,1.000000,1.000000,1.000000,0.000000,200,2.000000,-4.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,2,1.400000,12.300000,13.700000,30,200,200,200,1.000000,1.000000,1.000000,0.000000,200,2.000000,-4.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,-4,199,131,199,0.995000,0.655000,0.995000,0.077361,199,1.995000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,-2,200,181,200,1.000000,0.905000,1.000000,0.050010,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,0,200,195,200,1.000000,0.975000,1.000000,0.039164,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,2,200,200,200,1.000000,1.000000,1.000000,0.029388,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,4,200,200,200,1.000000,1.000000,1.000000,0.022741,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,6,200,200,200,1.000000,1.000000,1.000000,0.018589,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,8,200,200,200,1.000000,1.000000,1.000000,0.014404,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,10,200,200,200,1.000000,1.000000,1.000000,0.012171,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,12,200,200,200,1.000000,1.000000,1.000000,0.009402,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,14,200,200,200,1.000000,1.000000,1.000000,0.007792,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,16,200,200,200,1.000000,1.000000,1.000000,0.006303,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,18,200,200,200,1.000000,1.000000,1.000000,0.005145,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,20,200,200,200,1.000000,1.000000,1.000000,0.004634,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,22,200,200,200,1.000000,1.000000,1.000000,0.003670,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,24,200,200,200,1.000000,1.000000,1.000000,0.003210,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,26,200,200,200,1.000000,1.000000,1.000000,0.002995,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,28,200,200,200,1.000000,1.000000,1.000000,0.002593,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,3,0.933333,12.533333,13.466667,30,200,200,200,1.000000,1.000000,1.000000,0.002560,200,2.000000,-2.000000,-4.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,-4,13,3,6,0.065000,0.015000,0.030000,0.159543,13,1.065000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,-2,62,25,49,0.310000,0.125000,0.245000,0.117319,62,1.310000,4.000000,2.000000,NaN
