obs_id,chunk_id,total_chunks,run_tag,scenario_name,center_az,trial_id,quant_mode,stage_name,elapsed_sec,num_candidates,num_topK,score_lanes_assumed,comment
cp00p00_easy_noncoherent_t0001,1,2,chunk_pilot_tps3,easy_noncoherent,0,1,combined_int14,score_recompute,0.3608329,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0001,1,2,chunk_pilot_tps3,easy_noncoherent,0,1,combined_int14,ranking_compare,0.1570417,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0001,1,2,chunk_pilot_tps3,easy_noncoherent,0,1,W_int18_G24_Z16,score_recompute,0.3571886,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0001,1,2,chunk_pilot_tps3,easy_noncoherent,0,1,W_int18_G24_Z16,ranking_compare,0.1659469,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,double_baseline,score_recompute,0.3087225,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,double_baseline,ranking_compare,0.1617717,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,float32_all,score_recompute,0.3186981,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,float32_all,ranking_compare,0.1541326,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,combined_int16,score_recompute,0.3091533,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,combined_int16,ranking_compare,0.1601164,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,combined_int18,score_recompute,0.3150199,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,combined_int18,ranking_compare,0.1565901,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,combined_int24,score_recompute,0.3224582,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,combined_int24,ranking_compare,0.1669286,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,mixed_Z16_G24_Rz24,score_recompute,0.2977138,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,mixed_Z16_G24_Rz24,ranking_compare,0.1510713,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,combined_int14,score_recompute,0.3112056,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,combined_int14,ranking_compare,0.153589,7353,10,NaN,ranking and topK comparison
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,W_int18_G24_Z16,score_recompute,0.3061317,7353,10,NaN,Step12 quantized score recompute
cp00p00_easy_noncoherent_t0003,1,2,chunk_pilot_tps3,easy_noncoherent,0,3,W_int18_G24_Z16,ranking_compare,0.1579968,7353,10,NaN,ranking and topK comparison
cp00p00_strong_coherent_t0002,1,2,chunk_pilot_tps3,strong_coherent,0,2,double_baseline,score_recompute,0.3198887,7353,10,NaN,Step12 quantized score recompute
cp00p00_strong_coherent_t0002,1,2,chunk_pilot_tps3,strong_coherent,0,2,double_baseline,ranking_compare,0.1631928,7353,10,NaN,ranking and topK comparison
cp00p00_strong_coherent_t0002,1,2,chunk_pilot_tps3,strong_coherent,0,2,float32_all,score_recompute,0.3053734,7353,10,NaN,Step12 quantized score recompute
cp00p00_strong_coherent_t0002,1,2,chunk_pilot_tps3,strong_coherent,0,2,float32_all,ranking_compare,0.163429,7353,10,NaN,ranking and topK comparison
